"","x"
"Eny2",0.0665508668712944
"Bclaf1",0.0664368726879125
"Ap1s1",0.0663949604645841
"Irf2bp2",0.0663922179358312
"Rab20",0.0663910096661934
"Mrps24",0.0663649522632054
"Cope",0.0663374759868
"Snrpg",0.0663123736560536
"Ostc",0.0662828146005109
"RP23-323H18.3",0.0662569685151407
"Dmtf1",0.0662507805108982
"Fam213a",0.0662381291073004
"Atp2a2",0.0662164917519766
"Bnip3l",0.0661962711809519
"Etfb",0.0661832107862529
"Hsbp1",0.0661618360555643
"Swi5",0.0661462622178506
"Sugt1",0.0660942527276127
"Rbpjl",0.0660799567977561
"Ndufv2",0.0660780434482661
"Iqgap1",0.0660536414086665
"Tpm1",0.066046695284577
"Msi2",0.0660068519039376
"Ywhae",0.0659749050639153
"Eif4g1",0.0659515748771419
"Cldn7",0.0659223873947231
"Pafah1b1",0.0658962444193152
"Tbca",0.0658610938171433
"Rpl17-ps3",0.0658357625429938
"Scarb2",0.0658344010479302
"Nucb2",0.065782957576198
"Pon2",0.0657524193335955
"RP23-366M19.1",0.0657460875612862
"Tinag",0.0656580940956876
"Spry1",0.065642876273276
"Prpf40a",0.0656190766750169
"Mrpl30",0.0656080153771212
"Cnbp",0.0655015343086383
"Zfp207",0.0654842387180507
"Cdc42",0.0654581320857752
"Dctn2",0.0654407077454994
"Mcl1",0.0654332611059158
"Tecr",0.0653749830119314
"Rpl21",0.0653429044942622
"Vmp1",0.0653091284624103
"Rpl5",0.0652955263382535
"Stat3",0.0652915271527938
"Rpl36-ps2",0.0652470797661431
"Fkbp1a",0.0652289358073583
"Ythdc1",0.0651978815192234
"Chrna1os",0.0651759228353415
"Rab1a",0.0651652214936696
"Insig1",0.0651489164132991
"Acer3",0.0651395575736156
"Dpy30",0.0651343715897742
"Nr4a1",0.0650801203800608
"Mat2a",0.0650451901684842
"mt-Nd5",0.0650289880625229
"Pafah1b3",0.064986086916963
"Ptprs",0.0649206406170742
"Pcbp2",0.064907721435263
"Ppp1r15b",0.06487564480423
"Ssrp1",0.0648712541286556
"Gltscr2",0.0648651497668875
"Fuca1",0.0648544710772343
"Ndufa5",0.0648326558477778
"Ppa2",0.0648045131479143
"Ppp1r9a",0.0647709787212868
"Hspb8",0.064723037449724
"Cspp1",0.0647117484956967
"Atp6v0a4",0.0647072030131373
"Fndc3b",0.0646702107417279
"Tm9sf3",0.0646638329103284
"Nipbl",0.0646522583672036
"Nol7",0.0645848528892374
"Irx1",0.0645681962892808
"Ppp1r15a",0.0645348478373554
"Mt1",0.064400256569997
"Cdh1",0.0643676512717315
"Gpm6b",0.0643503684952507
"Slc39a8",0.0643198813769851
"Tmem123",0.0643001350634404
"Lyar",0.0642488646919982
"RP23-359B23.5",0.0642383822078811
"Actr10",0.0642229539875215
"Shmt2",0.0641928003789114
"AC164607.1",0.0640720831000411
"Fat1",0.0640341963083375
"Zc3h15",0.0640000684262494
"RP23-173F3.4",0.0639845034763518
"Serbp1",0.0639697620938096
"RP23-216P14.8",0.0639583739965934
"Sept7",0.0639560181622968
"Rpp21",0.0639491370581358
"Luc7l3",0.0639349648863378
"Rnf115",0.0639206398622006
"Zfp91",0.0639037858866612
"Ostf1",0.0638950142484408
"Sumo1",0.0638785904839924
"Ergic3",0.063875685623012
"Dhrs4",0.0638558814655365
"Srsf11",0.0638017822990838
"Psmb3",0.0637890363197807
"RP23-146N20.3",0.0637487263768098
"RP24-217J7.2",0.0637447498184809
"Brk1",0.0637220040520738
"RP24-352B14.1",0.0637117223866831
"Tram1",0.063699543232236
"Ndrg1",0.0636560551980053
"Sfpq",0.0636019232621106
"Dynll1",0.0635840131904599
"Atf7ip",0.0635086136773304
"Stx19",0.0634979420262907
"Rnase4",0.0634334280878068
"Lsm1",0.0634241991822985
"Cops9",0.0634181443880313
"Rfk",0.0634016380730623
"Rdx",0.0633954287929563
"Gnmt",0.0633221382584944
"Atp6v1e1",0.0632886952582909
"Foxq1",0.063256651452797
"Angel2",0.0632287080919921
"Gne",0.0632274466422182
"Esd",0.0632240367696894
"Tcf25",0.0632221202090064
"Eif2ak4",0.0631920683179822
"Tob2",0.0631723151489817
"Hdac5",0.0631487438740785
"C1d",0.0631449725048901
"Tmed10",0.0630849379020467
"Nelfb",0.0630383699868465
"Dnajb11",0.0630167013707198
"Eif3c",0.0629900800385426
