gene,distance,Z,FC,p.value,p.adj
Mgat4b,9.30490848150756e-13,-0.00954206548309433,8.97976697164973e-10,0.999976090384353,0.999999999982601
Lrrc59,9.26217440915033e-13,-0.0100885872683741,8.89747474528615e-10,0.999976200192553,0.999999999982601
Ppp3r1,9.25192708553864e-13,-0.0102200073161542,8.87779796906872e-10,0.99997622652377,0.999999999982601
Nit2,9.1254434950787e-13,-0.0118540118123215,8.63671950657003e-10,0.999976551532236,0.999999999982601
Pank2,8.85086731464052e-13,-0.0154790973584645,8.12479693059455e-10,0.99997725707501,0.999999999982601
Rrp15,8.85080986386496e-13,-0.0154798673467299,8.12469145519796e-10,0.999977257222634,0.999999999982601
Irs3,8.84200169938141e-13,-0.0155979775198103,8.10852841240033e-10,0.999977279855831,0.999999999982601
Slc24a5,8.47538747124964e-13,-0.0206193325443364,7.45006357630387e-10,0.99997822189683,0.999999999982601
Leng8,8.47528514643285e-13,-0.0206207636029853,7.44988368558116e-10,0.999978222159761,0.999999999982601
Acyp2,8.38378641291758e-13,-0.0219072540632149,7.28989488167051e-10,0.999978457272181,0.999999999982601
Inpp5k,8.36008661926826e-13,-0.0222427260523377,7.24873810620013e-10,0.999978518170464,0.999999999982601
Gtf2b,8.35627885672888e-13,-0.0222967122175609,7.24213645507763e-10,0.999978527954777,0.999999999982601
Mrpl46,8.34895114071474e-13,-0.0224006720225496,7.22944060036015e-10,0.999978546783858,0.999999999982601
Rnf38,8.34098302628574e-13,-0.0225138190271479,7.21564784476492e-10,0.999978567258488,0.999999999982601
Bop1,8.34096358147677e-13,-0.0225140952727019,7.2156142020324e-10,0.999978567308452,0.999999999982601
Crcp,8.34095133235873e-13,-0.0225142692919347,7.21559300907446e-10,0.999978567339928,0.999999999982601
Atg4a,8.34086386532989e-13,-0.0225155119148302,7.21544167785395e-10,0.99997856756468,0.999999999982601
Epb41l4aos,8.33797091990376e-13,-0.0225566185021593,7.21043733792272e-10,0.999978574998307,0.999999999982601
Dcaf5,8.33793621420646e-13,-0.0225571117291302,7.21037731307081e-10,0.999978575087485,0.999999999982601
Baz2a,8.33788195627855e-13,-0.0225578828305845,7.21028347237703e-10,0.999978575226905,0.999999999982601
Snhg12,8.3378462807122e-13,-0.0225583898463865,7.21022177076085e-10,0.999978575318576,0.999999999982601
Reep4,8.33781214102259e-13,-0.0225588750365326,7.21016272572186e-10,0.9999785754063,0.999999999982601
Mknk1,8.33780639767168e-13,-0.0225589566607016,7.21015279254522e-10,0.999978575421058,0.999999999982601
Pisd,8.33779665352152e-13,-0.0225590951441243,7.21013593996624e-10,0.999978575446096,0.999999999982601
Atxn3,8.32664741354743e-13,-0.022717651854352,7.19086615146701e-10,0.999978604094851,0.999999999982601
Mrpl16,8.32657070866947e-13,-0.0227187434195225,7.19073366790125e-10,0.99997860429195,0.999999999982601
Nfil3,8.3264964633054e-13,-0.0227197999934594,7.19060543353501e-10,0.999978604482728,0.999999999982601
Nasp,8.32649558158252e-13,-0.022719812541172,7.19060391065657e-10,0.999978604484994,0.999999999982601
Tmub1,8.32647020244403e-13,-0.0227201737098039,7.19056007683654e-10,0.999978604550207,0.999999999982601
Pgm1,8.28390736868857e-13,-0.0233274085146704,7.1172352756587e-10,0.999978713918397,0.999999999982601
Fam65a,8.27919295657724e-13,-0.0233948563971446,7.10913667413247e-10,0.99997872603241,0.999999999982601
Gadd45gip1,8.27063747761098e-13,-0.0235173538172281,7.09445151249475e-10,0.999978748016314,0.999999999982601
Rnaseh2a,8.26819323490812e-13,-0.0235523733583382,7.09025884922379e-10,0.999978754296967,0.999999999982601
Cdipt,8.26745027374351e-13,-0.0235630200438802,7.08898467718967e-10,0.999978756206058,0.999999999982601
Ccdc25,8.25635640138034e-13,-0.0237221078650874,7.06997240055148e-10,0.999978784712542,0.999999999982601
Mfap1a,8.22721276323624e-13,-0.024141034220934,7.02014871208021e-10,0.999978859599167,0.999999999982601
Srsf4,8.18059790190457e-13,-0.024814140408609,6.9408226514945e-10,0.999978979379325,0.999999999982601
Adipor1,8.16837927018451e-13,-0.0249911972214941,6.92010435627315e-10,0.999979010775958,0.999999999982601
Atp2c1,8.1683397083532e-13,-0.0249917709233504,6.92003732428818e-10,0.999979010877615,0.999999999982601
