"","TF","D","W"
"510","SETDB1","O",0.0123104914623838
"1240","POLR2A","O",0.0123020027630987
"1097","EP300","I",0.0122929261281342
"1070","MYC","O",0.0122812653070518
"65","FOSL2","I",0.0122722222186588
"1188","POLR2A","O",0.0122393800888973
"870","POLR2A","O",0.0122391578289812
"41","FOSL2","I",0.0122384556280616
"843","TBP","I",0.0122127497270935
"1100","POLR2A","O",0.0122084969178372
"257","PML","I",0.0122006300323958
"553","CTCF","I",0.0121934931953865
"1012","POLR2A","O",0.0121901248197415
"1104","POLR2A","O",0.0121885077097244
"1059","HCFC1","I",0.0121804318049182
"1205","MAX","I",0.0121365517797526
"17","ESRRA","I",0.0121282977211285
"601","CTCF","I",0.0121270146179668
"850","ARID3A","O",0.0121212294065081
"711","TBP","I",0.0121205695894455
"62","HSF1","O",0.0120952899519894
"807","HCFC1","I",0.0120766188369617
"281","TAF1","I",0.0120675585283865
"766","CUX1","O",0.0120448670974138
"639","CTCF","I",0.0120377141370996
"1006","MYC","O",0.0120319517081125
"761","CTCF","I",0.0120042917983025
"883","TCF7L2","I",0.0119706705946266
"209","TCF12","I",0.011964958984487
"638","KDM1A","O",0.0119632826053366
"671","TBP","I",0.011959995846905
"941","CTCF","I",0.0119370922511294
"657","RAD21","I",0.011929992101294
"1243","MYC","I",0.011909930195303
"1035","TBP","I",0.011894648621192
"673","NFYA","I",0.0118906318957088
"1191","MYC","I",0.0118820234111098
"1081","TBP","I",0.0118219933787124
"31","MAFK","I",0.0117751930779854
"185","ESRRA","I",0.0117744801704743
"1008","RAD21","O",0.0117497846352058
"649","CTCF","I",0.0117294005405884
"769","BACH1","I",0.011675867057783
"323","YY1","I",0.011648070616023
"961","HDAC2","I",0.0116168841160517
"1026","UBTF","O",0.0115968421952326
"387","ATF3","I",0.0115872333722137
"653","CTCF","I",0.0115848732417425
"706","CREB1","O",0.0114942376095937
"888","SMARCB1","O",0.0114783450948422
"1164","UBTF","O",0.0114511510187361
"943","CTCF","I",0.0114264694604229
"547","CTCF","I",0.0113862008698205
"339","GABPA","I",0.0113779124962709
"217","KAT2A","I",0.0113687916209838
"239","MTA3","I",0.0113569795241424
"203","YY1","I",0.0113392243014323
"295","YY1","I",0.0113087518805301
"1189","CTCF","I",0.0113026487589727
"315","CTCF","I",0.0112839288517668
"311","FOSL2","I",0.0112762281529032
"455","KDM4A","I",0.0112689297328713
"759","CTCF","I",0.0112498381790822
"891","MYC","I",0.0112435480921775
"945","MYC","I",0.0112317076391019
"513","REST","I",0.0112296723000019
"709","CTCF","I",0.0112047300423237
"329","SMC3","I",0.0111910203107554
"483","CTCF","I",0.0111821759739445
"336","CREBBP","O",0.0111731476283805
"597","CTCF","I",0.0111596219055652
"568","GTF2F1","O",0.0111577106777298
"818","RAD21","O",0.0111038286304603
"688","RAD21","O",0.0110967582876917
"604","ATF2","O",0.0110949716241128
"738","CREB1","O",0.0110889165652585
"805","KAT2A","I",0.0110258178032708
"972","RAD21","O",0.0110033468831796
"1231","CTCF","I",0.0109894603448994
"120","RAD21","O",0.0109591106753748
"112","CEBPB","O",0.0109522282133445
"675","SIRT6","I",0.0109061155735731
"422","RAD21","O",0.0108714208140047
"423","CTBP2","I",0.0108625595137709
"595","CTCF","I",0.0108613222248735
"658","RAD21","O",0.0108498963277321
"1166","RAD21","O",0.010840088674137
"22","ZEB1","O",0.0108384046922738
"35","ZZZ3","I",0.0108355656660299
"1182","SETDB1","O",0.0108352206555188
"454","RAD21","O",0.0108251369647555
"540","RAD21","O",0.0108251369647555
"729","SIRT6","I",0.0108104694889101
"800","CREB1","O",0.0107853241351903
"627","CTCF","I",0.010783394685351
