"","TF","D","W"
"245","TCF12","I",0.015415829843797
"251","ELF1","I",0.0153951402007477
"1243","MYC","I",0.0153760495969059
"355","CHD1","I",0.0153388570907442
"1085","USF1","I",0.0153208496044934
"199","YY1","I",0.0153105085896288
"766","CUX1","O",0.0153051193370276
"259","SP1","I",0.0153003469611298
"60","REST","O",0.0152982416302728
"891","MYC","I",0.0152731986722616
"793","USF1","I",0.0152362991113192
"29","REST","I",0.0152329016696457
"293","TCF12","I",0.0152246758294276
"429","NFIC","I",0.0152144786398383
"471","PML","I",0.0151979047373859
"155","IRF3","I",0.015159646154858
"257","PML","I",0.0151425880805371
"1159","USF1","I",0.0151176929156298
"110","REST","O",0.0151073776180878
"1065","USF1","I",0.0151061096437949
"255","YY1","I",0.0151048409839704
"1069","MYC","I",0.0151040543717419
"900","CUX1","O",0.0150816848600852
"1235","MYC","I",0.0150461908191275
"667","YY1","I",0.0150366898366716
"1195","MYC","I",0.0150333773766733
"739","MYC","I",0.0149603613024863
"1083","MYC","I",0.0149427558680238
"515","CTCF","I",0.0149392636468897
"108","TAF1","O",0.0149336683575807
"203","YY1","I",0.0149179137219656
"1054","REST","O",0.0149153943637905
"295","YY1","I",0.0148476972175591
"507","CTCF","I",0.014834810566638
"459","SP1","I",0.0148101254942864
"315","CTCF","I",0.0148069590982698
"7","RXRA","I",0.0148062853792359
"363","CTCF","I",0.0147898258876038
"31","MAFK","I",0.0147614218650118
"918","ZKSCAN1","O",0.0147493532768273
"447","YY1","I",0.0147482977628824
"67","REST","I",0.0147357577658805
"1093","HCFC1","I",0.014730088885925
"239","MTA3","I",0.0147109335507039
"565","CTCF","I",0.0146736919805051
"1107","HCFC1","I",0.0146358538334521
"68","REST","O",0.0146239776612941
"417","KDM5B","I",0.0146206310384996
"21","ZEB1","I",0.0146199312728284
"246","TCF12","O",0.0146149663281348
"313","CTCF","I",0.0146085125886806
"665","SP1","I",0.0146027591297688
"613","CTCF","I",0.0145810895272565
"523","CTCF","I",0.0145743722226901
"491","CTCF","I",0.0145668572667352
"531","CTCF","I",0.0145566841154019
"1049","YY1","I",0.0145531068298721
"439","CTCF","I",0.0145525430113584
"561","CTCF","I",0.0145305326754067
"493","MAZ","I",0.0145131734381868
"545","STAT3","I",0.0144992727271304
"663","CHD4","I",0.0144598858474326
"670","MAZ","O",0.0144592250472981
"140","REST","O",0.0144371211661351
"569","CTCF","I",0.014436636199668
"423","CTBP2","I",0.0144319950145546
"451","CTCF","I",0.0144296381871954
"1120","REST","O",0.0144261062072204
"321","CTCF","I",0.0144078738129914
"633","CTCF","I",0.0144037623117471
"373","CTCF","I",0.0143943752031708
"479","CTCF","I",0.0143788167401055
"1211","CTCF","I",0.0143622308157626
"153","REST","I",0.0143593254972515
"249","CTCF","I",0.0143536797793876
"395","CTCF","I",0.0143532979610924
"14","REST","O",0.0143496055398477
"453","RAD21","I",0.0143422379189462
"121","CTCF","I",0.0143142939605674
"494","MAZ","O",0.0142943078013625
"582","REST","O",0.0142911802921807
"181","CTCF","I",0.0142776362566509
"16","RXRA","O",0.0142741981913969
"375","SP1","I",0.0142687956416869
"659","CTCF","I",0.0142661048239784
"465","CTCF","I",0.0142542088296183
"431","CTCF","I",0.0142460756025024
"664","CHD4","O",0.0142449834533808
"816","IRF3","O",0.014244114152778
"210","TCF12","O",0.0142357139303073
"939","CTCF","I",0.0142144912973851
"1112","REST","O",0.0142141120582434
"514","REST","O",0.0142134293352778
"589","CTCF","I",0.0141690361850694
"761","CTCF","I",0.0141663152490119
"1013","CTCF","I",0.0141606189390491
"327","CTCF","I",0.0141589978752174
"173","REST","I",0.0141577487443324
"913","TBL1XR1","I",0.0141505660566261
"287","CTCF","I",0.0141490237145777
"994","MAZ","O",0.0141478951925323
"1059","HCFC1","I",0.0141440967498561
"323","YY1","I",0.0141390012997289
"359","CTCF","I",0.0141389318027155
"294","TCF12","O",0.0141320691113364
"473","CTCF","I",0.0141288376735659
"503","CTCF","I",0.0141251347280026
"555","CTCF","I",0.0141231519949784
"261","CTCF","I",0.0141154906609305
"377","CTCF","I",0.0141112391531078
"759","CTCF","I",0.0140759996791622
"219","CTCF","I",0.01406926019053
"485","CTCF","I",0.0140664691390488
"755","CTCF","I",0.0140608284473766
"385","CTCF","I",0.0140581662150823
"807","HCFC1","I",0.0140565062566068
"307","CTCF","I",0.0140530868505048
"679","SMC3","I",0.0140352280398
"477","CTCF","I",0.0140158318279552
"1004","MAZ","O",0.0140050152323993
"299","CTCF","I",0.0140010099173455
"109","REST","I",0.0139907498884655
"1155","CTCF","I",0.0139848313540922
"747","CTCF","I",0.0139818741899
"467","CTCF","I",0.0139791381122462
"535","CTCF","I",0.0139782514709535
"1145","CTCF","I",0.0139769961261087
"499","CTCF","I",0.0139738994029835
"653","CTCF","I",0.0139670540805197
"1137","CTCF","I",0.0139542242022149
"1161","CTCF","I",0.0139496879264238
"391","SP4","I",0.0139374675951974
"571","CTCF","I",0.0139250668980344
"425","CTCF","I",0.0138928544819081
"449","CTCF","I",0.0138847141710745
"1185","CTCF","I",0.0138825345213725
"1009","CTCF","I",0.0138734622961102
"1157","YY1","I",0.0138552152425216
"617","SMC3","I",0.0138331475885455
"271","CTCF","I",0.0138171866555442
"1223","CTCF","I",0.0138060750997588
"1199","TBL1XR1","I",0.0138022176762063
"263","CTCF","I",0.0137983842509904
"1003","MAZ","I",0.013786671396976
"607","CTCF","I",0.0137815744642513
"787","CTCF","I",0.0137747401181405
"669","MAZ","I",0.0137733491972092
"399","CTCF","I",0.0137728511481187
"1091","CTCF","I",0.0137719071930212
"437","CTCF","I",0.0137677904793886
"619","IRF3","I",0.0137646504265599
"1053","REST","I",0.0137520408692126
"1219","CTCF","I",0.0137466269210595
"418","KDM5B","O",0.013717349725552
"725","SMC3","I",0.0137110696553863
"1217","CTCF","I",0.0137049242895351
"487","CTCF","I",0.0137006098125043
"192","PML","O",0.0136936844174336
"601","CTCF","I",0.0136492221521088
"833","CTCF","I",0.0136399939404471
"753","CTCF","I",0.0136234710299504
"547","CTCF","I",0.0135997981459444
"841","CTCF","I",0.0135603989214806
"483","CTCF","I",0.0135506472518552
"655","CTCF","I",0.0135447509976303
"709","CTCF","I",0.0135442822039404
"583","CTCF","I",0.0135442475188868
"815","IRF3","I",0.0135386117331154
"519","CTCF","I",0.0135227806456675
"639","CTCF","I",0.0135054924039601
"620","IRF3","O",0.0134982698279818
"233","ZC3H11A","I",0.0134776693263112
"156","IRF3","O",0.0134685571627298
"402","KDM5B","O",0.0134148273867743
"597","CTCF","I",0.0134084677513868
"957","CTCF","I",0.0134047630961977
"501","CTCF","I",0.0133412628988
"1119","REST","I",0.0133387494432316
"489","CTCF","I",0.0133331836058592
"1111","REST","I",0.0133169522266239
"1143","CTCF","I",0.0133092662362277
"472","PML","O",0.0133037096638886
"539","RAD21","I",0.0132881053785105
"1165","RAD21","I",0.0132831406011988
"627","CTCF","I",0.0132747498896231
"415","CTCF","I",0.013258027070711
"574","MAZ","O",0.0132573567696333
"752","MAZ","O",0.0132526212995026
"405","CTCF","I",0.013226412414318
"943","CTCF","I",0.0132213729337693
"454","RAD21","O",0.0131722192240194
"713","CTCF","I",0.0131651160748251
"433","CTCF","I",0.0131579954919062
"573","MAZ","I",0.0131257461436289
"630","MAZ","O",0.0131149345653695
"59","REST","I",0.0131010388534681
"835","USF2","I",0.0130824373458035
"553","CTCF","I",0.0130651445176537
"1231","CTCF","I",0.0130317378841806
"649","CTCF","I",0.0130154846122497
"302","SP1","O",0.0130080150294348
"751","MAZ","I",0.0129922265218292
"77","RXRA","I",0.0129788312799786
"875","CTCF","I",0.0129391402877762
"495","SMC3","I",0.0129250763601433
"818","RAD21","O",0.0128771555946478
"240","MTA3","O",0.0128618268048448
"615","CTCF","I",0.0128598999302142
"873","USF2","I",0.0128580340229196
"993","MAZ","I",0.0128482317218237
"97","REST","I",0.0128404788582975
"1189","CTCF","I",0.0128254823723147
"258","PML","O",0.0127977423736428
"819","STAT3","I",0.0127921215650697
"771","USF2","I",0.0127792954283943
"361","CTCF","I",0.012772931783222
"629","MAZ","I",0.0127534764630171
"421","RAD21","I",0.0127524922081207
"75","RXRA","I",0.0127027736901133
"145","SMARCC2","I",0.0126485503020917
"475","CTCF","I",0.0126435952510912
"146","SMARCC2","O",0.0126283472494799
"693","CTCF","I",0.0126225624079021
"618","SMC3","O",0.0126175488411864
"577","CTCF","I",0.012614340669944
"505","CTCF","I",0.0125862425898635
"13","REST","I",0.0125687621129299
"1125","CTCF","I",0.0125629949323598
"680","SMC3","O",0.0125295822646999
"1166","RAD21","O",0.0125233915157849
"441","CTCF","I",0.0125203313046437
"89","ZC3H11A","I",0.0125127438033581
"666","SP1","O",0.0125110633713895
"581","REST","I",0.0125048064995579
"540","RAD21","O",0.0124932686110555
"595","CTCF","I",0.0124858266216466
"731","USF2","I",0.0124143646305296
"1105","USF2","I",0.0124013082038436
"881","POLR2A","I",0.0123928104312118
"379","RAD21","I",0.012376439893006
"460","SP1","O",0.0123529511337315
"921","USF2","I",0.0123454167339882
"817","RAD21","I",0.0123335372314785
"1037","POLR2A","I",0.0123300194926913
"1001","RAD21","I",0.0123199232569862
"422","RAD21","O",0.0122924120193896
"1207","STAT3","I",0.0122893500519668
"513","REST","I",0.0122596069143469
"972","RAD21","O",0.0122458449047996
"139","REST","I",0.012238753424097
"726","SMC3","O",0.0122019495289839
"914","TBL1XR1","O",0.0121892339344429
"260","SP1","O",0.0121890037942884
"1103","POLR2A","I",0.0121752936961279
"197","BCLAF1","I",0.0121722727021008
"971","RAD21","I",0.0121614961382266
"496","SMC3","O",0.0121433503631912
"1008","RAD21","O",0.0121312795014323
"941","CTCF","I",0.0121199812714593
"309","POLR2A","I",0.0120906140259316
"392","SP4","O",0.0120789138695445
"222","RAD21","O",0.0120749569791118
"1002","RAD21","O",0.0120326301681368
"687","RAD21","I",0.0119997242004016
"380","RAD21","O",0.011998488660438
"1095","USF2","I",0.0119821170691537
"707","POLR2A","I",0.0119670666770369
"221","RAD21","I",0.0119439184484705
"1029","POLR2A","I",0.0119005564504386
"1163","UBTF","I",0.0118903023312721
"688","RAD21","O",0.0118709475683778
"983","POLR2A","I",0.0118379183025508
"869","POLR2A","I",0.0118242920772075
"198","BCLAF1","O",0.0117985208607661
"1007","RAD21","I",0.0117857543345508
"733","MXI1","I",0.0117539386746161
"979","POLR2A","I",0.0117344338175678
"53","FOSL2","I",0.0117294900962679
"1200","TBL1XR1","O",0.0117277918009251
"909","POLR2A","I",0.0117031772798155
"1011","POLR2A","I",0.0116908935241273
"658","RAD21","O",0.0116641782193314
"907","POLR2A","I",0.0116381422149461
"1241","POLR2A","I",0.0116220802449278
"330","SMC3","O",0.0116155460057112
"675","SIRT6","I",0.0116100930122718
"861","POLR2A","I",0.011592956975324
"1025","UBTF","I",0.0115860198209673
"1239","POLR2A","I",0.0115644155397291
"995","E2F4","I",0.011531944955043
"1017","UBTF","I",0.0115201753292154
"1067","POLR2A","I",0.0115120322330447
"120","RAD21","O",0.011467031608288
"893","POLR2A","I",0.0114556842456659
"1193","POLR2A","I",0.0114392839691629
"253","POLR2A","I",0.0114299312663588
"119","RAD21","I",0.0114195540979396
"836","USF2","O",0.0114067963108566
"645","POLR2A","I",0.01140163879757
"376","SP1","O",0.0113805489988109
"1225","POLR2A","I",0.0113626879547921
"905","POLR2A","I",0.0113442207192755
"1039","POLR2A","I",0.0113165251472703
"919","POLR2A","I",0.0113146443083854
"6","REST","O",0.0112913060226261
"1106","USF2","O",0.0112902073251023
"1245","POLR2A","I",0.0112833354806288
"729","SIRT6","I",0.0112753424258983
"1096","USF2","O",0.0112736053683274
"888","SMARCB1","O",0.011261991747829
"445","BCLAF1","I",0.0112612769720637
"1187","POLR2A","I",0.0112477269143419
"585","MXI1","I",0.0112270523389062
"772","USF2","O",0.0112215800449356
"874","USF2","O",0.0112201441897331
"397","NR2C2","I",0.0111983399529775
"703","MXI1","I",0.0111922094374668
"963","E2F4","I",0.0111763204928274
"927","POLR2A","I",0.0111599160218459
"1237","POLR2A","I",0.0111545127072493
"537","MXI1","I",0.0111471567214888
"931","POLR2A","I",0.0111419705204783
"895","POLR2A","I",0.0111237156415971
"718","SMC3","O",0.0111226879193384
"695","POLR2A","I",0.0111001613556261
"699","POLR2A","I",0.0110909031858258
"657","RAD21","I",0.0110832835344753
"329","SMC3","I",0.0110731533055728
"851","POLR2A","I",0.0110703060049786
"922","USF2","O",0.0110371422607859
"823","RCOR1","I",0.0110369771655943
"1213","POLR2A","I",0.011031186390991
"78","RXRA","O",0.0110308106171908
"839","POLR2A","I",0.0110202707107838
"719","E2F4","I",0.0110085113011327
"1057","MXI1","I",0.011005731973517
"923","MXI1","I",0.0110021966928661
"859","POLR2A","I",0.0109859567650131
"215","SMC3","I",0.0109744417228212
"1099","POLR2A","I",0.0109512733480286
"1031","POLR2A","I",0.0109074396821025
"216","SMC3","O",0.0108960246009426
"795","ATF2","I",0.0108557993885654
"1023","POLR2A","I",0.0108522815285999
"767","RCOR1","I",0.0108395450182622
"1127","POLR2A","I",0.0108369137780193
"933","ZC3H11A","I",0.0108147254174588
"1018","UBTF","O",0.0108023019670477
"676","SIRT6","O",0.0107910105853256
"95","E2F4","I",0.0107489939632235
"76","RXRA","O",0.0107474172886208
"113","NR2C2","I",0.0107438965039794
"446","BCLAF1","O",0.0107346261935569
"929","GTF2F1","I",0.0107215345651763
"319","RCOR1","I",0.0107096359893746
"611","MXI1","I",0.0106744641765842
"1063","E2F4","I",0.0106699027011295
"1133","POLR2A","I",0.0106590684122341
"855","POLR2A","I",0.0106517420099818
"1064","E2F4","O",0.0106405250857797
"497","POLR2A","I",0.0106399237875239
"730","SIRT6","O",0.0106368867835287
"1151","POLR2A","I",0.0106280713617839
"1079","RCOR1","I",0.0106133279232109
"310","POLR2A","O",0.0105406552479867
"813","GTF2F1","I",0.0105212405162583
"848","E2F4","O",0.0105160097312156
"732","USF2","O",0.0105136192024544
"1197","RCOR1","I",0.0105120875219577
"1201","POLR2A","I",0.0104982434526019
"90","ZC3H11A","O",0.0104643149734035
"625","MXI1","I",0.010462120270984
"96","E2F4","O",0.0104563877064928
"847","E2F4","I",0.0104427446658654
"720","E2F4","O",0.0104183449488521
"857","POLR2A","I",0.0103939071268239
"223","NR2C2","I",0.0103632558571636
"65","FOSL2","I",0.0103436321031204
"567","GTF2F1","I",0.0103244511805146
"196","E2F4","O",0.0103224458662943
"996","E2F4","O",0.0103217721128098
"603","ATF2","I",0.0103097293006427
"717","SMC3","I",0.0103070131326852
"234","ZC3H11A","O",0.0103060325217975
"964","E2F4","O",0.0102646429768556
"781","RCOR1","I",0.0102347080992463
"1026","UBTF","O",0.010178301742182
"101","ZC3H11A","I",0.0101750568304775
"811","POLR2A","I",0.0100528023299882
"635","MXI1","I",0.00999548827051709
"955","ELK4","I",0.0099648603873033
"1164","UBTF","O",0.00994263777101333
"887","SMARCB1","I",0.00993565908676218
"311","FOSL2","I",0.00992585722144659
"41","FOSL2","I",0.00990746744743435
"317","RCOR1","I",0.00987388256662425
"704","MXI1","O",0.00974819512946225
"796","ATF2","O",0.00974184949504854
"195","E2F4","I",0.00971254483398566
"1104","POLR2A","O",0.00970800434798239
"604","ATF2","O",0.00962954894686437
"882","POLR2A","O",0.00961120855707278
"953","ELK4","I",0.00957284469060686
"626","MXI1","O",0.00954635546915111
"1030","POLR2A","O",0.00953033399087331
