"","Cftr","Akap7","Zranb1","Krcc1","Mta1","Rps8"
"OPA1",0.191085084604914,-0.246462647360578,-1.04139202787955,-1.17730668967306,-0.504078033482512,-0.888130546527235
"OPA3",0.801616930234418,-0.2757513481011,1.37361788890023,0.359048141231885,0.203357945212425,0.323428035491838
"OPLAH",-1.21943852824464,-0.246553764814023,-1.14969220437758,-1.21394307146855,-0.515578825985433,-1.17741717858936
"OPTN",0.900814145522886,-0.261610116458927,1.1480463485998,0.471735304717082,-0.0277137291770363,0.276964481311855
"ORAI1",0.901714371556901,-0.289843945786721,0.957903962959396,0.531764750349539,0.367029839750545,0.317838269422417
"ORAI3",-1.2255488108285,-0.246562363207233,-0.971501394948421,-1.22796484212624,-0.509593031734818,-1.22740531965418
"ORC4",-1.22107626574843,-0.246693408714635,-1.06257724254406,-1.22198155986553,-0.524552662891843,-1.23335606147254
"ORC6",0.654534449741532,-0.2719605524491,0.948044203110604,0.317312051627119,0.144603094469282,0.208049657809332
"ORMDL1",-0.51262958251213,0.151841027660659,0.0312405832101836,0.813341663514588,0.102758534531802,1.19136685902939
"ORMDL3",-1.22833959388002,-0.246384284422411,-1.01330749773924,-1.21108364871677,-0.521577890688505,-1.17839508080048
"OS9",0.657929671846554,-0.258007949000965,-0.247745861116916,0.315430173552092,-0.114011478265084,0.241958050350577
"OSBP",0.733555537305112,-0.351574288963058,1.16983874545997,0.254640896936471,0.835856660490976,0.204656510495198
"OSBPL1A",-1.19643245308579,-0.246648305819837,-1.10763954350038,-1.17617402646473,-0.5201487376824,-1.21933127996012
"OSBPL2",-1.22242665342074,-0.246262040829104,-1.00113759704852,-1.18595774642843,-0.492630864683134,-1.17062884159012
"OSBPL5",-1.22878629523843,-0.246448692697937,-1.12172889605887,-1.20424236466194,-0.532779643595101,-1.26054680318148
"OSBPL6",-1.21958416910654,-0.246580938715666,-0.924058039243214,-1.22929312956704,-0.498720866413647,-1.21953868046587
"OSBPL7",-1.20577564111578,-0.246583702697283,-1.05664262072972,-1.22177551397979,-0.518789262294874,-1.22184339432825
"OSBPL8",-1.1589289292868,-0.246836149017984,-1.06953549052144,-1.19012846888331,-0.521359514410657,-1.17237983364435
"OSBPL9",1.00811407822429,-0.337244236211103,0.97812377655,0.677028748205805,0.755925054224345,1.14666748933131
"OSGEP",-0.379490532439515,0.156780841690782,0.212303589996636,0.835394467239301,0.446140566764671,1.20335968621466
"OSGIN1",0.900726969921226,-0.268755973311891,0.947382327869922,0.418468276395564,0.0989107810307067,0.205436799984474
"OSMR",0.709976731558275,-0.253055208597601,-0.395479252608018,0.341986738374706,-0.262728211516639,0.126467764495419
"OST4",0.241276197060751,0.143630004578809,0.874894006055628,0.876816725793541,2.11857805087749,1.20792162763993
"OSTC",0.813059918781107,0.547025533272097,0.939313014761599,1.01979911157771,-0.222361354119135,1.3119007676558
"OSTF1",0.862256945135521,0.148018078639332,0.941878734253547,0.924062678247857,-0.0994044348536193,1.20219789472395
"OSTM1",0.888491809980203,-0.257342953120237,0.941631811445155,0.375460924420174,-0.144701788522838,0.15641918805321
"OTUB1",0.808744888561782,-0.265884985245158,0.945249407295041,0.268826108921789,0.0411669524802212,0.096655662498445
"OTUD1",-1.19873504213066,-0.24663419758339,-1.10326290836102,-1.22421006719887,-0.518103224748008,-1.28574192905555
"OTUD4",-1.25551314668975,-0.246522977774727,-1.07232541198205,-1.19355638039971,-0.536569256143172,-1.17579440231806
"OTUD5",-1.13807489974895,-0.246629189659086,-1.08196171910309,-1.23757813716059,-0.541317050342372,-1.18824698295777
"OTUD6B",-1.2360475620244,-0.246468689504978,-1.04936909082825,-1.1817363367403,-0.541779394248375,-1.25410988738856
"OTUD7B",0.900451634499196,-0.253930168775439,0.940083517991112,0.582813095523489,-0.230582268602385,0.300269183411241
"OTULIN",-0.736086904662885,-0.25301017080131,-0.387830270481174,-0.721818363553355,-0.259436216173822,-0.129909597320899
"OXA1L",-1.22042906211893,-0.246209530391265,-1.09881415212151,-1.23367182100423,-0.533425397343772,-1.17763923481702
