"gene","distance","Z","FC","p.value","p.adj"
"Gapdh",2.45261507283603e-07,2.22290778117232,15.4704758495902,8.38040959558416e-05,0.0101601871155594
"Ifi27l2a",2.45117019910439e-07,2.22230138696713,15.4522534222696,8.4615993868015e-05,0.0101601871155594
"Glipr1",2.42860732808323e-07,2.21279242041915,15.1690886195544,9.82994858352184e-05,0.0115886157482828
"Acad8",2.41581208991124e-07,2.20736654568198,15.0096714856538,0.000106961598604986,0.0123846250956202
"Fam20c",2.37931794475098e-07,2.19175575645536,14.5596135017519,0.000135794023950186,0.0152606207140365
"Flt1",2.37851079766299e-07,2.19140819620797,14.549736926521,0.000136507711507421,0.0152606207140365
"Ybx1",2.34704605624902e-07,2.17778062000097,14.1673332616231,0.000167249124683395,0.0183803953296124
"Rhoc",2.34155313304333e-07,2.17538570016677,14.1010976544502,0.000173242656256491,0.0187217563861181
"Csf2ra",2.3261210390094e-07,2.16863164972685,13.9158425088456,0.000191180248509923,0.0197715708437223
"Uba52",2.325516996411e-07,2.16836650929094,13.9086161692604,0.000191916672835116,0.0197715708437223
"Rpl35",2.32530124189399e-07,2.16827179111047,13.9060354892967,0.000192180357578814,0.0197715708437223
"Gabarap",2.32288694559228e-07,2.16721138352152,13.8771739720558,0.000195154308142848,0.0197715708437223
"Gng5",2.31706259807554e-07,2.16464935211755,13.8076706722608,0.000202507755368768,0.0202009274740168
"Rpl41",2.30707267373009e-07,2.16024218198639,13.6888648797221,0.000215729824672619,0.0211938209572312
"Rplp0",2.28822734986939e-07,2.1518840089725,13.4661432668346,0.000242907105105129,0.0235076070074874
"Ctsd",2.27054208220115e-07,2.14398695739744,13.258793213639,0.000271304246347295,0.0258696578428803
"Ms4a6c",2.26427201487941e-07,2.14117461223584,13.1856664121379,0.000282098480532102,0.0265090804024659
"Tpm4",2.25897369712546e-07,2.13879296683097,13.124030607923,0.000291532162802338,0.0268376690344741
"Acaa2",2.25768371413151e-07,2.138212388371,13.1090459779929,0.000293873303739615,0.0268376690344741
"Rpl28",2.25205718857223e-07,2.13567677505684,13.043787525113,0.000304292091562168,0.027403193356793
"Myl6",2.22694420785203e-07,2.12429345939359,12.7545035694507,0.000355152998535362,0.0315453704452505
"Arpc1b",2.22330884774602e-07,2.12263657941946,12.7128955512867,0.000363142713333721,0.0318191534223763
"Ifitm2",2.21392854515168e-07,2.11835068036202,12.60584857641,0.000384541623967675,0.032946589870953
"Pdcd1",2.21323391046846e-07,2.1180326855575,12.5979394811022,0.000386172244014872,0.032946589870953
"Sh3bgrl3",2.17746678874689e-07,2.10154318719455,12.194049841902,0.000479421885954175,0.040371058552297
"Ctsz",2.17305371262503e-07,2.09949273070468,12.1446725207554,0.000492282851096644,0.0409225898270595
"Rps19",2.1606662836232e-07,2.09371816677199,12.0066064667886,0.000530122961778474,0.0422093894517566
"Arpc5",2.15955694646749e-07,2.0931996630116,11.9942806804998,0.000533640701101754,0.0422093894517566
"Rpl19",2.15651136869837e-07,2.09177499646254,11.9604739719028,0.000543410458777194,0.0422093894517566
"Gm8730",2.15577489929462e-07,2.09143023259045,11.9523061327115,0.000545797832747024,0.0422093894517566
"Gm2000",2.15465894372168e-07,2.09090762882814,11.939934905721,0.000549433993772165,0.0422093894517566
"Tyrobp",2.15361808126835e-07,2.09041998391958,11.9284019174622,0.000552845803524299,0.0422093894517566
"Iqgap1",2.15347055024236e-07,2.09035084930755,11.9267676916802,0.00055333098448478,0.0422093894517566
