"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Sdhc",2.60224520508067e-20,-0.00544566998718432,0.855,0.969,1.42865864004134e-15
"Gm12940",2.66836743060628e-20,-0.015679920858532,0.031,0.105,1.46496040307716e-15
"L3mbtl2",2.69166451066582e-20,-0.0043907264402766,0.054,0.123,1.47775073300064e-15
"Snx29",2.76018363523501e-20,-0.00564609743442477,0.044,0.107,1.51536841758037e-15
"Slc2a8",2.76927000444689e-20,-0.00504404159457492,0.053,0.121,1.52035692514139e-15
"Ttll5",2.81042710348223e-20,-0.0267682517775528,0.042,0.128,1.54295258408278e-15
"Cdx1",2.82588998647034e-20,0.0225537655341552,0.863,0.966,1.55144186147208e-15
"Amot",2.8421452743413e-20,-0.00227058981617879,0.065,0.131,1.56036617706612e-15
"Btnl6",2.9002281350201e-20,-0.00482001109047514,0.044,0.105,1.59225424840738e-15
"Map3k20",3.07238664505744e-20,0.00560146251365105,0.058,0.117,1.68677099200298e-15
"Igsf23",3.13785614318987e-20,-0.0043352871968738,0.061,0.142,1.72271440117267e-15
"Pars2",3.65417014717583e-20,-0.0129181336230128,0.045,0.124,2.006175952501e-15
"Mre11a",3.65917804941269e-20,0.00081145284143809,0.058,0.115,2.00892534090806e-15
"Gm44985",3.71441385385037e-20,0.0142166272380496,0.085,0.137,2.03925034990239e-15
"Fsd1l",3.81845173675715e-20,-0.00472309004347887,0.053,0.12,2.09636818799704e-15
"4632404H12Rik",3.91805404173976e-20,0.00048818329892656,0.051,0.103,2.15105084945555e-15
"Pex26",3.95564871742294e-20,-0.00860922882342985,0.047,0.118,2.17169070235237e-15
"Gm42701",3.96093931696155e-20,-0.0136035007822132,0.039,0.108,2.17459529440506e-15
"Cyp39a1",3.96411831831379e-20,-0.0325139352237985,0.047,0.135,2.17634059793745e-15
"Tasp1",4.06676215180516e-20,0.00254546035581252,0.051,0.105,2.23269308896255e-15
"Ppp6r2",4.27296540314155e-20,0.0026083866446308,0.074,0.144,2.34590073597874e-15
"Aplp1",4.38399862393352e-20,-0.0182936685031163,0.032,0.103,2.40685908452574e-15
"Spata7",4.62353029967038e-20,0.00100203803000007,0.072,0.138,2.53836436982203e-15
"Acvr2b",4.64275274780742e-20,-0.0021296980091836,0.05,0.113,2.54891768607375e-15
"Qtrt2",4.64850316194346e-20,0.00128295026759628,0.059,0.12,2.55207472093858e-15
"Ccdc120",4.68194971125193e-20,-0.0104681695458143,0.052,0.121,2.57043721097442e-15
"Zfp952",4.92344063499064e-20,-0.0288069005063115,0.031,0.113,2.70301814301621e-15
"Gm13657",5.03062035341087e-20,0.00535798501104841,0.063,0.114,2.7618608802261e-15
"Gm37404",5.04795831191853e-20,-0.00584695696381144,0.047,0.108,2.77137959282639e-15
"Apol6",5.28282500571615e-20,-0.00676373966012611,0.092,0.172,2.90032375638823e-15
"Nbea",5.3167059570346e-20,-0.0138228016708793,0.048,0.121,2.91892473747157e-15
"Dhx57",5.61303081925051e-20,-0.00838710663633075,0.057,0.13,3.08161005007672e-15
"Zfp606",5.81741128008292e-20,0.00888500998280504,0.054,0.103,3.19381696687833e-15
"Ndrg1",6.03207977813997e-20,-0.167840376787655,0.325,0.501,3.31167211899662e-15
"Galnt11",6.07378363875141e-20,0.0139201883514352,0.072,0.121,3.33456795551091e-15
"Ctnnal1",6.138989484825e-20,-0.019629245248163,0.08,0.168,3.37036661706378e-15
"Nup155",6.19552800782245e-20,-0.0130082694125431,0.051,0.123,3.4014068315746e-15
"Nfya",6.60641812429131e-20,-0.0272594751338405,0.065,0.158,3.62698961441717e-15
"Brf2",7.24987491167527e-20,0.00275449547354311,0.058,0.115,3.98025382525884e-15
"Npas2",7.2626397941106e-20,-0.0206797703329323,0.036,0.115,3.98726187336466e-15
"Phf7",7.31260382028346e-20,-0.00204680745034813,0.044,0.105,4.01469262337382e-15
"Zfp239",7.49927965721662e-20,-0.00369220307066192,0.055,0.125,4.1171795246085e-15
