"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Dhps",1.0073320016319e-116,0.0263615551914894,0.292,0.474,5.5303534221593e-112
"Eif4e2",1.0284435740421e-116,0.032482344754884,0.71,0.895,5.64625806584853e-112
"Ndufa3",1.04618618321344e-116,-0.212522000349138,0.779,0.969,5.74366676446012e-112
"Ddx10",1.04817589794292e-116,-0.0104705401159524,0.368,0.588,5.75459049729641e-112
"Map4k3",1.08898875613959e-116,-0.0146189985855281,0.281,0.5,5.97865717008194e-112
"Clptm1",1.10900721406925e-116,-0.040234963756106,0.584,0.828,6.08856050596156e-112
"Xpr1",1.14521430022223e-116,-0.0618239589028035,0.239,0.485,6.28734102965005e-112
"Gle1",1.20574908295771e-116,-0.0207750406154944,0.276,0.494,6.61968304034612e-112
"Otud6b",1.28423293435187e-116,-0.0325964880080551,0.261,0.488,7.05056723288518e-112
"As3mt",1.34852403817853e-116,0.00888358366197561,0.517,0.728,7.40353182200396e-112
"Zdhhc5",1.35503275483881e-116,-0.0512032696110178,0.347,0.599,7.43926532734054e-112
"Rbm15b",1.41641322555645e-116,-0.0361686287530651,0.256,0.489,7.77625024962747e-112
"Aars",1.48848545878141e-116,-0.0194193143686082,0.313,0.53,8.17193401725584e-112
"Bzw2",1.53091020492399e-116,-0.0125276631549359,0.726,0.927,8.40485011605318e-112
"Mapk6",1.60884116728249e-116,-0.0188149586420679,0.231,0.445,8.8326988924976e-112
"Cnep1r1",1.61159363616896e-116,-0.0109042862176082,0.255,0.459,8.84781022193122e-112
"Csnk1g1",1.69446203753872e-116,-0.0336665417238048,0.292,0.523,9.30276603229133e-112
"Mindy3",1.71632521041354e-116,-0.0131686803122958,0.252,0.457,9.42279703769139e-112
"Kpna6",1.72079399956595e-116,-0.0358247263909285,0.224,0.452,9.447331137017e-112
"Abcb8",1.760740635596e-116,-0.0365150064811628,0.216,0.44,9.66664216348562e-112
"Ncbp1",1.76197581020931e-116,-0.0423833461845811,0.397,0.64,9.67342339563013e-112
"Dhdds",1.80409678306416e-116,-0.0265787973309878,0.231,0.446,9.90467174870056e-112
"Smndc1",1.90593982259147e-116,-0.0108244680502818,0.35,0.57,1.04638002200094e-111
"Creb3l1",1.92559244673637e-116,-0.0779442904193262,0.556,0.813,1.05716950918274e-111
"Fermt1",2.13328671618596e-116,0.0234199119257053,0.717,0.909,1.17119574005326e-111
"Psmd6",2.16179135421343e-116,0.0221284208598279,0.736,0.924,1.18684507137672e-111
"Josd2",2.19588045050457e-116,0.0999017244204269,0.385,0.498,1.20556032613151e-111
"Zfp593",2.46859383364836e-116,0.0751247574723579,0.361,0.508,1.35528270061128e-111
"Abcf1",2.49852945509143e-116,-0.0162066376887947,0.668,0.883,1.37171765613975e-111
"Riok3",2.50441234496689e-116,-0.0215167851320233,0.31,0.533,1.37494742151027e-111
"Naa30",2.56692096381017e-116,-0.0276011489902565,0.19,0.39,1.40926527834142e-111
"Dpysl2",2.61347355089485e-116,-0.0457130368487459,0.208,0.432,1.43482311417678e-111
"Fcgrt",2.66456046319135e-116,0.053369558533238,0.464,0.657,1.46287033989668e-111
"Arfgap1",2.77043924410918e-116,-0.0179575725405823,0.214,0.409,1.52099884940838e-111
"Dda1",2.78177207720603e-116,-0.00487623437985146,0.341,0.552,1.52722068810688e-111
"Dnajc4",2.81519973989591e-116,0.0573235695697843,0.352,0.502,1.54557280920025e-111
"Kif21a",2.94226042623793e-116,-0.0384919256396438,0.412,0.659,1.61533039660888e-111
"Ttc39a",3.09974135144998e-116,-0.0261045853276823,0.306,0.534,1.70178899935955e-111
"Kansl1",3.16830356165238e-116,-0.00909816597524893,0.3,0.511,1.73943033838277e-111
"Ascc3",3.18255319059514e-116,-0.00270661252080145,0.291,0.494,1.74725352716864e-111
"Myo6",3.20037713322552e-116,0.00258753976330273,0.717,0.922,1.75703904991214e-111
"Imp3",3.33424724539861e-116,0.0595887139361083,0.761,0.928,1.83053508019629e-111
"Ibtk",3.52528585323838e-116,-0.0186723505271332,0.379,0.609,1.9354171862864e-111
"1110004F10Rik",3.55200460443714e-116,-0.0109123474932928,0.691,0.901,1.95008604788203e-111
"Parp1",3.55505546947807e-116,-0.0266473194354028,0.401,0.638,1.95176100329816e-111
"Emc6",3.58545936069928e-116,0.00807144011702754,0.751,0.935,1.96845304361751e-111
"Mecom",3.62372564396323e-116,-0.00218499575369491,0.582,0.806,1.98946161579225e-111
"Sltm",4.04243586392978e-116,-0.0237483044503779,0.662,0.883,2.21933771365609e-111
"Tmem238",4.19840654042499e-116,0.163086590563755,0.841,0.944,2.30496717475872e-111
"Tusc2",4.3548563912359e-116,-0.0119800466259683,0.322,0.54,2.39085970735242e-111
"Car12",4.41613715098523e-116,-0.138623224347733,0.345,0.627,2.4245034572624e-111
"Rras2",4.42628378107499e-116,-0.0276477152351804,0.278,0.504,2.43007405864798e-111
"Dpagt1",4.54888830367798e-116,-0.034678110086231,0.235,0.45,2.49738516760225e-111
"Rnf141",4.554850429107e-116,-0.0410409079684226,0.255,0.484,2.50065843408403e-111
"Mapre2",4.57213156794323e-116,-0.0425081262566854,0.292,0.538,2.51014595211651e-111
"Asb8",4.78747716150133e-116,-0.0127226574192676,0.225,0.419,2.62837283643584e-111
"Hspb11",4.88657034477092e-116,0.00866296619476581,0.277,0.468,2.68277598498268e-111
"Inppl1",5.42114122901648e-116,-0.016201092293794,0.245,0.46,2.97626074614234e-111
"Snrnp25",5.43298671324574e-116,0.0356909963400709,0.276,0.453,2.98276403543905e-111
"Zfp219",5.49028130951475e-116,-0.00756408673810061,0.261,0.468,3.01421934173669e-111
"Fis1",5.53508054378157e-116,0.0900109089227564,0.776,0.922,3.03881456934152e-111
"Strn3",5.62027302729174e-116,0.025402799126765,0.378,0.577,3.08558609471344e-111
"Cited2",5.68395048475786e-116,-0.0131368134956743,0.458,0.703,3.12054565563691e-111
"Met",5.88570244135712e-116,-0.0558896885410628,0.194,0.425,3.23130949732947e-111
"Prpf6",6.08774635114692e-116,-0.000309706289444101,0.267,0.469,3.34223362424317e-111
"Atxn7",6.60158527937497e-116,-0.00677958217338342,0.276,0.49,3.62433633422965e-111
"Taf3",6.76762224996903e-116,-0.00506856122606306,0.262,0.461,3.71549229145549e-111
"Mysm1",6.78212412631534e-116,-0.00772301139150799,0.285,0.494,3.72345396658838e-111
"Zfand2b",6.87895318723799e-116,0.0226287275363319,0.387,0.577,3.77661408932553e-111
