"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Dnaja3",0.419049245664582,-0.0847608554769976,0.213,0.282,1
"Macrod2",0.419127353213659,-0.0558743578561473,0.262,0.247,1
"Rfwd3",0.419173508473866,0.161333329356545,0.123,0.071,1
"Tmem19",0.41924048965312,-0.018340783914335,0.221,0.294,1
"Msmo1",0.41924137407311,0.147060170702039,0.41,0.412,1
"Wdr3",0.41934984388043,-0.0156571492644628,0.09,0.141,1
"Sqle",0.419419099055849,-0.111515393838276,0.369,0.412,1
"Kpna6",0.419483829592142,0.112130362445744,0.221,0.153,1
"Nipsnap1",0.419535551446026,0.0303709888562916,0.369,0.412,1
"Phf20l1",0.419555869694923,-0.146191368681955,0.402,0.494,1
"Tcim",0.419624469702734,0.121743903853717,0.311,0.341,1
"Scap",0.419639116176519,-0.0139654278722349,0.156,0.212,1
"Rhot2",0.419843351398295,-0.0527444263051236,0.066,0.106,1
"2310009A05Rik",0.419851496442855,0.0758839639567891,0.279,0.2,1
"Rhpn2",0.419926479898388,0.0927859805003047,0.156,0.094,1
"Rras2",0.42008048462691,0.0607219302005254,0.156,0.094,1
"Tmem30b",0.420101250884206,0.146058552916262,0.336,0.341,1
"Fut8",0.420107132767743,-0.143409122815289,0.393,0.471,1
"Pin1",0.420448194425942,0.102143073681111,0.525,0.541,1
"Ammecr1",0.42046157794307,-0.0923758513700381,0.221,0.294,1
"Epc2",0.420463835141917,-0.0275501575673172,0.197,0.259,1
"Pycrl",0.420496460689851,0.0506220939502813,0.303,0.329,1
"Ftsj3",0.420598786284937,-0.0873633978055796,0.18,0.235,1
"Tmtc4",0.420613088136628,-0.0550499781995896,0.123,0.188,1
"Tmem238l",0.420695283341491,0.0838086036258612,0.115,0.141,1
"Bpnt1",0.4208310338404,0.105699351967259,0.303,0.271,1
"Gcnt1",0.420879320268487,-0.162539936556677,0.09,0.106,1
"Slc35g1",0.420897400165451,-0.112501468600742,0.303,0.376,1
"Ngly1",0.421086584791535,0.0878200271897129,0.23,0.188,1
"Cops8",0.421100456895718,0.099252297369906,0.23,0.165,1
"Trim39",0.42115129870136,-0.15875949438124,0.09,0.106,1
"Tpd52l2",0.421315910974454,-0.0151598370383706,0.369,0.459,1
"Vps41",0.421331557807743,-0.0912002564061065,0.246,0.329,1
"Armc10",0.421396362314839,0.0184635531277276,0.238,0.318,1
"Khdrbs1",0.421450677445036,-0.0465541448082082,0.582,0.671,1
"Plagl2",0.421534068160017,-0.104706191943131,0.164,0.212,1
"Dhrs7",0.421602307293696,-0.0526081890686904,0.336,0.424,1
"Rxra",0.421641286063893,0.0724093627683315,0.131,0.094,1
"Dcaf15",0.421784773218069,-0.098847371303864,0.246,0.329,1
"Ctxn1",0.421956758003851,-0.0714834304971688,0.27,0.353,1
"Tspan8",0.422129561780576,-0.187609996878494,0.803,0.871,1
"Zfp646",0.422168712706106,-0.0674339536802545,0.139,0.165,1
"Ptbp2",0.422177459459093,-0.107558738558775,0.213,0.271,1
"Rab5b",0.422240476536834,-0.0419119750717156,0.279,0.365,1
"Card10",0.422428574998259,0.0921637801677086,0.246,0.318,1
"Nabp2",0.422432680850249,0.108427969104881,0.418,0.376,1
"Pld3",0.422432997852021,-0.00640572546659163,0.172,0.247,1
"Gigyf1",0.422463614915122,-0.144136657471773,0.246,0.329,1
"Pink1",0.422591863833359,0.054238273650761,0.287,0.365,1
"Epn2",0.422762522289061,0.0914401656671624,0.164,0.176,1
"Prmt2",0.422963987085448,0.113269858798488,0.18,0.2,1
"Strip1",0.42297408066671,-0.0119946746625987,0.27,0.224,1
"Desi1",0.423047107571533,0.102332520059443,0.369,0.412,1
"Zbtb1",0.423062486004618,-0.0708734288274083,0.172,0.247,1
"Xpo1",0.423088006689589,-0.106328367962939,0.205,0.282,1
"Sertad1",0.423532494757671,-0.0515419330833437,0.172,0.247,1
"Hivep1",0.423537988360501,-0.0579677655707052,0.205,0.188,1
"Atxn7l3b",0.423720252755314,0.0546510328383445,0.762,0.835,1
"Mycbp2",0.424004871834827,0.0611600694515453,0.426,0.494,1
"Adcy6",0.424127679513878,-0.021397397695226,0.27,0.353,1
"Mrpl16",0.424181988172957,0.109955201303113,0.344,0.271,1
"Ddx23",0.424247894024771,0.167351730404342,0.123,0.176,1
"Smox",0.424262155678563,-0.0500318262224943,0.115,0.165,1
"Adgrg1",0.424289957375523,0.0633200098372927,0.213,0.259,1
"Prkd3",0.424319689286643,-0.0504059854258733,0.057,0.106,1
"Drosha",0.424597617615198,0.114681749902641,0.148,0.094,1
"Ubxn6",0.424981109749299,-0.11268562760042,0.459,0.518,1
"Rdh11",0.425039989675453,-0.0753261542290453,0.107,0.118,1
"Zdhhc14",0.425300056296539,0.173714014627371,0.09,0.118,1
"Ube2b",0.425762497212094,0.0381600187501021,0.631,0.718,1
