"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"1110038F14Rik",0.0157026996441329,-0.0885519350054305,0.283,0.362,1
"Cox17",0.0157709964678415,0.0260328234763936,0.622,0.663,1
"Odf2",0.0158524667185659,-0.0907634153690072,0.217,0.29,1
"D1Ertd622e",0.015901652861762,-0.111382745879722,0.273,0.35,1
"Atl2",0.0159110785489513,-0.0803316961884958,0.277,0.352,1
"Zfp652",0.015936611481785,-0.0441949934468733,0.325,0.403,1
"Ids",0.0159465535760769,-0.0584264390092922,0.552,0.632,1
"Snx10",0.0160502852636131,-0.121278648951632,0.389,0.468,1
"Sgms1",0.0160529742694668,-0.0700758876137229,0.273,0.35,1
"Pde5a",0.0160997082297743,-0.0914530928392124,0.249,0.325,1
"Ufc1",0.0161348191179795,0.0803079108101244,0.644,0.626,1
"Cd200",0.0161678638682051,-0.135180768400565,0.223,0.294,1
"Tmem43",0.0161687907454309,-0.03469884973862,0.099,0.151,1
"Sfxn1",0.0161723894677251,0.0427933983020878,0.389,0.409,1
"Slc35f5",0.0161964081754899,0.047739600279566,0.346,0.391,1
"Ifih1",0.0161968837481008,-0.114811433791809,0.16,0.217,1
"Acer3",0.0161992308334555,-0.0311005602385187,0.113,0.168,1
"Phldb2",0.0162044051083438,-0.0823275405217871,0.356,0.438,1
"Abhd14a",0.0162171026949649,-0.0652947787485525,0.233,0.307,1
"Trip12",0.0163000440628148,-0.0259700726279453,0.51,0.583,1
"Tmem234",0.0163329884829399,-0.112299563048547,0.669,0.744,1
"Tada2b",0.0163465137045192,-0.0594009298950582,0.089,0.125,1
"Ube4a",0.0163472787644406,0.0671669279427437,0.234,0.264,1
"Pptc7",0.0163857124127171,0.0152036482111781,0.166,0.211,1
"Asxl2",0.0163974652311612,-0.0905626934772603,0.374,0.456,1
"Exosc1",0.0164222686793114,-0.0836523114084626,0.145,0.2,1
"Tcp1",0.0164544463890532,-0.0949389097131805,0.629,0.706,1
"Dnttip2",0.0164888123059937,-0.0832844293826006,0.325,0.405,1
"Uqcrh",0.0164935635901657,0.0945096764212634,0.872,0.869,1
"Decr1",0.0165276797014139,0.0602533685650765,0.174,0.18,1
"Zxdc",0.016558034651623,-0.0822901382611732,0.144,0.207,1
"Mydgf",0.0165801947771266,0.0816191268592134,0.582,0.593,1
"B930095G15Rik",0.0166073811234212,-0.0946655915100396,0.206,0.278,1
"Tmem164",0.0166223596986868,-0.0181715046970654,0.197,0.26,1
"Swt1",0.0166465903133022,-0.0652455521213798,0.303,0.382,1
"Snx18",0.0166491996014258,-0.0451723221163243,0.111,0.168,1
"Epb41l3",0.0166498152790223,0.0703005877743005,0.435,0.466,1
"Cox4i1",0.0167876226053823,0.109923639425822,0.955,0.935,1
"Pink1",0.0167897573474697,0.0663017057831047,0.309,0.303,1
"Fubp3",0.0168310306954421,-0.0689180615710459,0.239,0.313,1
"Cuedc2",0.0168420345123339,-0.0280361733091669,0.504,0.579,1
"Ech1",0.0168570194445593,0.0732728933868385,0.66,0.675,1
"Sgsm2",0.0168682138549055,-0.000370079578017657,0.15,0.2,1
"Ndufa4",0.0169910276996162,-0.0102594681641111,0.81,0.861,1
"Gm11808",0.0170005135049977,-0.105672494137734,0.154,0.198,1
"Zfp160",0.0170074886010875,-0.0791164703804735,0.098,0.141,1
"Prps2",0.0170114700313172,-0.0427085268770005,0.131,0.19,1
"Gnaz",0.0170457429999525,-0.0485417478913841,0.347,0.421,1
"Ubn2",0.0171361226785144,-0.110058209201019,0.628,0.706,1
"Snhg4",0.0171363146798875,0.00418571109475069,0.177,0.225,1
"Nudt21",0.0171469823856593,-0.0442997731865428,0.318,0.391,1
"S100a10",0.0171550190847588,0.198733748069692,0.545,0.519,1
"Ruvbl2",0.0171585402335942,-0.0127687130896061,0.197,0.252,1
"Snx19",0.0171591480168809,-0.0723415391590301,0.093,0.141,1
"Sept7",0.0171799195101842,-0.0791077845106862,0.582,0.661,1
"Pfdn4",0.0172398132105753,-0.0295620300901939,0.277,0.346,1
"Ier3",0.0172516951273493,-0.0862667000409111,0.129,0.19,1
"Tysnd1",0.0173530505966409,0.00174588502760104,0.166,0.215,1
"Zfp422",0.0173886418132845,-0.0305430940613507,0.249,0.315,1
"Gps2",0.017401346223763,-0.101915523851044,0.282,0.352,1
"Cep350",0.0174445680680321,-0.15515005473506,0.283,0.356,1
"Endog",0.0174533581221766,0.092820679935546,0.27,0.233,1
"Pcsk1n",0.0176768979133801,0.162285063978194,0.932,0.904,1
"9130024F11Rik",0.0176950243986786,0.105566036640159,0.297,0.301,1
"Kcmf1",0.0177692416737611,-0.0928260535304203,0.404,0.483,1
"Nsd1",0.0178169798656017,-0.107819393980407,0.53,0.609,1
"Atp6v1e1",0.0178197913932924,0.100466141588896,0.694,0.675,1
"Prkca",0.0178663255840041,0.0667964894877489,0.196,0.225,1
"E430021H15Rik",0.017903318108465,0.0577538873778953,0.114,0.067,1
"Trpm7",0.0179815520723028,-0.118340183649433,0.3,0.378,1
"Actr3",0.0180068561728003,-0.0954314062713484,0.687,0.757,1
"Sdf2",0.0180141337117915,0.0911874509800329,0.464,0.454,1
"Cope",0.0180733651635403,0.0627123940859933,0.666,0.695,1
"Hmga2",0.0180962475172805,-0.0377071938807298,0.23,0.299,1
"Glmp",0.0181032779605829,0.0879139203446087,0.499,0.495,1
"Wdr75",0.0181274628286372,-0.0743688858763652,0.122,0.18,1
"Fxyd3",0.0181709628934788,0.0987357095729364,0.904,0.912,1
"Rfx7",0.0181963276206905,-0.0334066799184073,0.289,0.36,1
"Pds5a",0.0182035516143735,0.0072572736841976,0.384,0.444,1
"Pfdn1",0.0182155380215187,0.0666252757749645,0.547,0.558,1
"Dnajb6",0.0182171377139428,0.0282113902502797,0.622,0.669,1
"Ino80d",0.0182200836592327,0.0119028157469261,0.361,0.417,1
"Zkscan3",0.0183464306956132,-0.0496482244316322,0.386,0.466,1
"Znrf3",0.0183488785656106,-0.051259729831381,0.092,0.143,1
"Map1b",0.018383001559404,0.132629516429638,0.849,0.869,1
"Scaf8",0.0184063131880811,-0.0979875895232326,0.249,0.321,1
"Aip",0.0184471841095222,-0.00212164603948295,0.383,0.448,1
"Iffo1",0.018489060625015,-0.0631785196242985,0.071,0.119,1
"U2af1",0.0186152572780495,-0.0651345875361883,0.467,0.548,1
"Coro1c",0.0186770980004863,0.101503775942244,0.283,0.272,1
"Sgpl1",0.0186962931556383,-0.0592031226077481,0.258,0.331,1
"Ugcg",0.0187092542537559,-0.041380444036143,0.334,0.409,1
"Cltb",0.0187927108028003,0.0880475176145156,0.58,0.577,1
"Hoxb9",0.0188022238563478,-0.0965946925124221,0.77,0.826,1
"Eif4enif1",0.0188116236401097,-0.047047611623116,0.206,0.272,1
"Nup50",0.018838794565504,-0.00338039654503897,0.231,0.286,1
"Cdc23",0.0188393170750173,-0.0893646940064211,0.171,0.198,1
"Acot13",0.0188859748949708,0.0328133849752366,0.316,0.362,1
"Zbtb38",0.0189188266357147,-0.0607655442299251,0.315,0.391,1
"Ccdc25",0.0189276079564972,0.014570649523706,0.199,0.243,1
"Tmem59",0.0189819283894953,0.078421820514694,0.884,0.873,1
"Boc",0.0190212770663537,-0.0304752654026613,0.068,0.11,1
"Scn3a",0.019086714568966,-0.0328068054204147,0.721,0.791,1
"Rab3ip",0.0191136877378304,-0.0424365633389135,0.264,0.335,1
"Tbc1d15",0.0191211978758087,0.0628593601301449,0.234,0.247,1
"Dnajc22",0.0191360133035152,-0.0256248712860148,0.214,0.282,1
"Slc44a3",0.0191375390466561,-0.152998063148664,0.237,0.299,1
"Cldn4",0.0192469867861636,0.02607065509732,0.662,0.72,1
"Tnks2",0.0192861870132775,-0.0469414960973896,0.467,0.548,1
"Pacsin2",0.0193932342928436,0.0315215220644622,0.237,0.276,1
"Ctdsp1",0.0194525368106678,0.0534993936563395,0.209,0.235,1
"AI413582",0.0195525991586371,-0.0949442611333756,0.257,0.327,1
"Spg7",0.019703642231851,0.135693524045606,0.368,0.325,1
"Pdcd10",0.0197084936252985,0.0399733758469916,0.453,0.507,1
"Ctps",0.0197786551151762,0.0520175067782239,0.11,0.07,1
"Ahcyl1",0.019916673520724,-0.0395401214947178,0.709,0.779,1
"Heatr5a",0.0199347235131381,-0.073665733432573,0.086,0.137,1
"Elf2",0.0199707282841345,-0.0522441585732299,0.28,0.356,1
"Cog4",0.0200265222720027,0.0862969301705384,0.22,0.2,1
"Brap",0.0201136331794215,-0.123134743781963,0.174,0.221,1
"Etfrf1",0.0201423300680527,-0.0920647127367142,0.105,0.157,1
"mt-Rnr1",0.0202359985416792,0.0706804446546085,0.604,0.528,1
"Casz1",0.0202482106001399,-0.133101382721476,0.669,0.744,1
"Fech",0.0202585095932094,0.10381564385052,0.26,0.223,1
"Cpsf6",0.0203756564407338,-0.0638275916929119,0.513,0.593,1
"Ckap4",0.0203904384883133,0.164225513882831,0.349,0.301,1
"Sigmar1",0.0204483456672831,-0.0134455906407343,0.223,0.276,1
"Acap3",0.0205712482877592,-0.100409632072126,0.126,0.139,1
"Naip5",0.0207324321214775,-0.0672146746364169,0.129,0.188,1
"Olfm1",0.0207974268742265,-0.0552414717913066,0.353,0.431,1
"Rdh10",0.0208654662751398,-0.00863641830279759,0.07,0.11,1
"Vil1",0.0208705885608383,-0.0577215445223997,0.568,0.648,1
"Kifap3",0.020885115537854,-0.0907755479147497,0.255,0.311,1
"Gm1673",0.0210043862226326,-0.0279897212605143,0.082,0.125,1
"Gpbp1l1",0.0210147818509092,-0.1047725129978,0.372,0.452,1
"Akirin2",0.0210642439038994,0.00246162043408521,0.35,0.409,1
"Gm17435",0.0210678427427917,0.067225437962273,0.104,0.067,1
"Sike1",0.0211179871269799,-0.080709373357019,0.353,0.432,1
"Wasf2",0.0211634036703374,0.0970394376736228,0.39,0.386,1
"Uqcrq",0.0212027396962051,0.0320666560641367,0.748,0.791,1
"Pnrc2",0.0212117956289112,-0.0941232403712495,0.371,0.45,1
"Psme1",0.0212864123900668,-0.0558340534073105,0.693,0.765,1
"Smarcad1",0.0212970757094271,-0.0595363676193694,0.248,0.321,1
