"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Lrch1",5.48118115006707e-27,-0.0415797725353847,0.168,0.32,3.00922326319832e-22
"Mccc1",5.50226167382119e-27,-0.031440299876989,0.246,0.406,3.02079668154457e-22
"Cdc42ep3",5.59986939605241e-27,-0.0651934181228766,0.069,0.206,3.07438429712673e-22
"Trub1",5.72588098667223e-27,0.0282824119919607,0.181,0.267,3.14356592049292e-22
"Reep6",5.78317339929351e-27,-0.0328533853378009,0.091,0.214,3.17502002794613e-22
"Khnyn",5.832815718306e-27,-0.0260315698688781,0.112,0.235,3.20227415750718e-22
"Cstf3",5.88099070733485e-27,-0.0388059576210782,0.153,0.3,3.2287227082339e-22
"Prpf31",5.93273024783504e-27,0.0111624983069315,0.2,0.32,3.25712823336391e-22
"B4galt1",5.9690026010081e-27,-0.0667284764008708,0.271,0.453,3.27704211797946e-22
"Hk2",6.08041139340776e-27,-0.186172925146861,0.37,0.589,3.3382066590948e-22
"Stx18",6.10247143258776e-27,0.0230610924615298,0.199,0.304,3.35031784120501e-22
"Secisbp2l",6.22149309847887e-27,-0.028998966122214,0.171,0.312,3.41566192599588e-22
"Elp3",6.28589260223592e-27,0.0189844294368144,0.213,0.326,3.45101789755354e-22
"Iqgap1",6.36399837762695e-27,-0.0459522990728336,0.863,0.979,3.49389874930097e-22
"Wnk4",6.47876174295455e-27,-0.0235673511565727,0.104,0.223,3.55690498449948e-22
"Cc2d1b",6.50483307009779e-27,0.00748601248973002,0.174,0.28,3.57121840381439e-22
"Dexi",6.66114096180686e-27,0.00848962391693153,0.184,0.297,3.65703299944158e-22
"Cpsf7",6.67600845510911e-27,-0.0562442434930892,0.207,0.377,3.66519540193945e-22
"Zw10",6.75707520119859e-27,-0.00949693200816945,0.132,0.249,3.70970185621004e-22
"Fam69a",6.77642991952186e-27,-0.0537879662535893,0.143,0.3,3.7203277901167e-22
"Apmap",6.83965878070109e-27,-0.0259324074987989,0.242,0.4,3.75504106719271e-22
"Slc9a2",6.95358695407697e-27,-0.0247801304586583,0.204,0.356,3.8175887736578e-22
"Zfp945",7.01258404469969e-27,0.00202275538104266,0.181,0.295,3.84997876638058e-22
"Nrip1",7.18083502001778e-27,0.00399636746851395,0.81,0.941,3.94235023433996e-22
"Itsn1",7.27170979521252e-27,-0.046927407332055,0.138,0.289,3.99224139466963e-22
"Mrpl12",7.34068307840902e-27,0.141998849157831,0.914,0.966,4.03010841687734e-22
"Mcrip1",7.37752556658174e-27,0.0333118663650624,0.209,0.313,4.05033531130904e-22
"Zfp280d",7.56176996084603e-27,-0.0105924463820675,0.23,0.363,4.15148732620408e-22
"Ppp2r5d",7.71519266475432e-27,-0.000565352804912267,0.16,0.272,4.23571792487677e-22
"Ppm1h",7.748851562595e-27,-0.0173089884190779,0.226,0.368,4.25419699638028e-22
"Chpt1",8.02876644963066e-27,0.0405315650956828,0.841,0.947,4.40787306851173e-22
"Spout1",8.08213760741084e-27,0.0168983531818453,0.179,0.275,4.43717436784462e-22
"Scyl1",8.16010960302968e-27,0.0422365757429998,0.209,0.306,4.47998177315932e-22
"Slc25a40",8.252581556427e-27,-0.042915935353925,0.112,0.248,4.53074980029399e-22
