gene,distance,Z,FC,p.value,p.adj
Egln2,1.99732015766649e-17,-0.919934379163997,7.95051460731607e-19,0.999999999288561,1
Rictor,1.99727191315254e-17,-0.919936969762318,7.95013052860047e-19,0.999999999288578,1
Rab5a,1.99674173976609e-17,-0.919965442538416,7.94591038394115e-19,0.999999999288767,1
Atf7,1.99651715987797e-17,-0.919977505688128,7.9441230808806e-19,0.999999999288847,1
Cic,1.99625355750319e-17,-0.919991666547639,7.94202547660325e-19,0.999999999288941,1
Ccdc120,1.99622441295682e-17,-0.919993232317196,7.94179357716417e-19,0.999999999288951,1
Chd8,1.99615796196355e-17,-0.919996802429682,7.94126484774449e-19,0.999999999288975,1
Med31,1.99613173762325e-17,-0.919998211376407,7.94105619385257e-19,0.999999999288984,1
Tbpl1,1.99571979605986e-17,-0.920020345936554,7.93777894165736e-19,0.999999999289131,1
Tmem62,1.99518310728367e-17,-0.920049189960664,7.93351026219731e-19,0.999999999289322,1
Ptbp2,1.99480961590632e-17,-0.920069267385829,7.93054028884153e-19,0.999999999289455,1
Cipc,1.99449342794391e-17,-0.920086267196526,7.92802642222948e-19,0.999999999289568,1
Arl16,1.99422805397862e-17,-0.920100536974443,7.92591686216355e-19,0.999999999289662,1
Stard3nl,1.99416997374241e-17,-0.920103660324995,7.92545519739139e-19,0.999999999289683,1
Cryl1,1.99373238118777e-17,-0.920127195290032,7.92197731966078e-19,0.999999999289839,1
Sh3bp4,1.9932171433094e-17,-0.920154912531257,7.91788331445689e-19,0.999999999290022,1
Tmem203,1.99319249282404e-17,-0.92015623877565,7.91768747181074e-19,0.999999999290031,1
Pnpo,1.9931142789515e-17,-0.920160446938334,7.91706609595201e-19,0.999999999290059,1
Bnip3,1.99298022022404e-17,-0.920167660102124,7.9160011132528e-19,0.999999999290107,1
Atpaf2,1.99261704995182e-17,-0.920187203157375,7.91311639386112e-19,0.999999999290236,1
Zfp414,1.99237319950244e-17,-0.920200327228242,7.9111797458551e-19,0.999999999290323,1
Emid1,1.99234031018519e-17,-0.920202097453427,7.91091855869104e-19,0.999999999290335,1
Asl,1.99230416229294e-17,-0.920204043099242,7.91063149885892e-19,0.999999999290348,1
AC139636.2,1.99192217455246e-17,-0.92022460548612,7.90759835299158e-19,0.999999999290484,1
Nrd1,1.99143253390073e-17,-0.9202509683043,7.9037112475806e-19,0.999999999290658,1
Epha2,1.991111573928e-17,-0.920268252501124,7.9011637643224e-19,0.999999999290772,1
Trmt10b,1.99110930590681e-17,-0.920268374647031,7.90114576432999e-19,0.999999999290773,1
Cdadc1,1.99063354690208e-17,-0.920293999911625,7.89737038932862e-19,0.999999999290943,1
Fgfr3,1.99050817925723e-17,-0.920300753414606,7.89637568736463e-19,0.999999999290987,1
Clybl,1.99045692876714e-17,-0.920303514373585,7.89596906967952e-19,0.999999999291006,1
Adck5,1.99005405618085e-17,-0.920325220219415,7.89277307231135e-19,0.999999999291149,1
Ndfip2,1.98954698153698e-17,-0.920352546165955,7.88875135723291e-19,0.99999999929133,1
Dnajb2,1.98951248958572e-17,-0.920354405156705,7.88847783157982e-19,0.999999999291342,1
Maz,1.98901207755495e-17,-0.920381378990252,7.88451003264813e-19,0.99999999929152,1
Tmem29,1.98876331558357e-17,-0.920394790467368,7.88253795452053e-19,0.999999999291609,1
Pygo2,1.98864619477242e-17,-0.920401105340703,7.88160955640755e-19,0.999999999291651,1
Mrps23,1.98854424756626e-17,-0.920406602377248,7.88080148156682e-19,0.999999999291687,1
Gstm4,1.98830662854933e-17,-0.920419415934567,7.87891817781929e-19,0.999999999291772,1
Atp5sl,1.98818462524548e-17,-0.920425995503196,7.87795130023286e-19,0.999999999291815,1
Pld3,1.9874308838794e-17,-0.920466652851725,7.87197920676359e-19,0.999999999292083,1
Map4k5,1.98731282598448e-17,-0.920473022305806,7.87104400775989e-19,0.999999999292126,1
Golph3l,1.98695788660461e-17,-0.920492174143858,7.86823267986274e-19,0.999999999292252,1
Clstn1,1.98687788687092e-17,-0.920496491222569,7.86759910443414e-19,0.99999999929228,1
Fastk,1.98650794718276e-17,-0.920516456670939,7.86466961770534e-19,0.999999999292412,1
Exoc7,1.98597580269637e-17,-0.920545182421431,7.86045661667111e-19,0.999999999292602,1
Wwox,1.98595549228896e-17,-0.92054627894464,7.86029584103656e-19,0.999999999292609,1
Tff3,1.98581975173709e-17,-0.920553607612053,7.85922137140627e-19,0.999999999292657,1
Ctsa,1.98489802148631e-17,-0.920603384656616,7.85192725431731e-19,0.999999999292986,1
Myh10,1.98482344665385e-17,-0.92060741294983,7.85133725407238e-19,0.999999999293012,1
Brd2,1.98433465230301e-17,-0.920633819612725,7.84747069681585e-19,0.999999999293186,1
Fyttd1,1.98394717272367e-17,-0.920654757229809,7.84440625628915e-19,0.999999999293324,1
Zfp263,1.98368028995223e-17,-0.920669180608536,7.84229592180215e-19,0.999999999293419,1
Rnmt,1.98349220222634e-17,-0.920679346705195,7.84080881757137e-19,0.999999999293486,1
Pbx3,1.98258841916725e-17,-0.92072820873955,7.8336650781551e-19,0.999999999293808,1
Ivd,1.98167857267956e-17,-0.920777419963997,7.82647670044355e-19,0.999999999294132,1
Dnajc30,1.98163629829662e-17,-0.92077970699692,7.82614278560128e-19,0.999999999294148,1
Edc3,1.98121515714869e-17,-0.920802493152545,7.82281668531452e-19,0.999999999294298,1
Bnip2,1.98074909480364e-17,-0.920827715167152,7.8191366292219e-19,0.999999999294464,1
Supt5,1.97996948401541e-17,-0.920869918167973,7.81298271135775e-19,0.999999999294741,1
Ogfod3,1.97971327201057e-17,-0.920883791247318,7.81096081105752e-19,0.999999999294833,1
Eva1a,1.97895193752781e-17,-0.920925025196538,7.8049542742249e-19,0.999999999295104,1
Smg5,1.97873439867564e-17,-0.9209368098899,7.80323842914449e-19,0.999999999295181,1
Anxa6,1.97871919669634e-17,-0.920937633470016,7.80311853006811e-19,0.999999999295187,1
Fzd3,1.97800786436721e-17,-0.92097617722432,7.79750923210438e-19,0.99999999929544,1
Hbb-bt,1.97781246347191e-17,-0.9209867673854,7.79596872758484e-19,0.99999999929551,1
Map2k5,1.97773566722251e-17,-0.920990929791175,7.79536332181833e-19,0.999999999295537,1
Rabgef1,1.97736077126577e-17,-0.92101125159602,7.7924082522891e-19,0.99999999929567,1
Naf1,1.97717746083505e-17,-0.921021189548774,7.7909635351461e-19,0.999999999295736,1
Adi1,1.97658068793845e-17,-0.92105354893188,7.78626114064996e-19,0.999999999295948,1
Sirt7,1.97620292799205e-17,-0.921074037365177,7.78328523732562e-19,0.999999999296083,1
Pum3,1.97599413520788e-17,-0.921085363182452,7.78164066133273e-19,0.999999999296157,1
Braf,1.97592815517709e-17,-0.921088942459062,7.78112099954894e-19,0.999999999296181,1
AC163616.2,1.9756065899632e-17,-0.921106388314547,7.77858858537053e-19,0.999999999296295,1
Tmem170b,1.97492782248925e-17,-0.921143222297898,7.77324445871988e-19,0.999999999296537,1
Exosc5,1.97486530755587e-17,-0.921146615336912,7.77275235347649e-19,0.999999999296559,1
Sdhaf2,1.97433304549644e-17,-0.921175508342557,7.76856312230007e-19,0.999999999296749,1
Dock7,1.97428886085993e-17,-0.921177907168407,7.76821541267973e-19,0.999999999296765,1
Irak1,1.97414707990654e-17,-0.92118560493532,7.76709972443175e-19,0.999999999296815,1
Nicn1,1.97414446096845e-17,-0.921185747131256,7.76707911650436e-19,0.999999999296816,1
Etfrf1,1.97348630526573e-17,-0.921221487551509,7.76190108076832e-19,0.999999999297051,1
Nipsnap1,1.9733097070019e-17,-0.921231079452336,7.76051198886467e-19,0.999999999297113,1
Ints10,1.97329518359311e-17,-0.921231868324787,7.76039775573346e-19,0.999999999297119,1
Immp2l,1.9729496017494e-17,-0.921250641027037,7.75767984738287e-19,0.999999999297242,1
Mettl16,1.97258538323829e-17,-0.921270429491796,7.75481588187681e-19,0.999999999297371,1
Armc8,1.9721072025522e-17,-0.921296414940008,7.75105659850008e-19,0.999999999297542,1
Wdr92,1.97208658825476e-17,-0.921297535303343,7.75089455685149e-19,0.999999999297549,1
Ccdc122,1.97202497250335e-17,-0.921300884114823,7.75041022747738e-19,0.999999999297571,1
Smox,1.97181231606216e-17,-0.921312442740061,7.74873876204166e-19,0.999999999297647,1
