"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Arl2bp",7.51205418790628e-46,0.0314313464029464,0.497,0.682,4.09121495181752e-41
"Serinc2",7.52706447775505e-46,-0.0723294726566743,0.365,0.602,4.09938985587495e-41
"Cldn12",7.54808797295036e-46,-0.104847226870777,0.245,0.486,4.11083967182822e-41
"Mpzl2",7.61428989800998e-46,-0.0681739740508015,0.36,0.599,4.1468945642542e-41
"Pls1",7.63924574582673e-46,-0.102625678171325,0.328,0.581,4.16048601809215e-41
"Rab3ip",7.73549410061324e-46,-0.0360062193173382,0.269,0.482,4.21290479707598e-41
"Pstk",7.99031999878654e-46,0.0438674968596037,0.305,0.467,4.35168807773913e-41
"Nedd4",7.99175814708466e-46,-0.0444562611811068,0.707,0.914,4.35247132206525e-41
"Il17rc",8.06601277653761e-46,0.00288883891056424,0.392,0.587,4.39291187835791e-41
"Brd7",8.4773226822201e-46,-0.0267016140472556,0.33,0.544,4.61691947919071e-41
"Dyrk2",8.81119356393394e-46,-0.0310187679404261,0.385,0.61,4.7987522387897e-41
"Aig1",8.84976277965922e-46,-0.0698335849769618,0.665,0.885,4.81975780505801e-41
"Sord",9.07995689642597e-46,-0.0767027482298736,0.491,0.729,4.94512612493151e-41
"Mta2",9.14169199523214e-46,-0.0744770551753811,0.26,0.482,4.97874829444333e-41
"Eci2",9.16670591930126e-46,0.0212315659331858,0.401,0.584,4.99237137776985e-41
"Tmem258",9.28747200862992e-46,-0.0953302373859986,0.672,0.895,5.05814300534003e-41
"Gm6472",9.32876413114405e-46,-0.0441496261358588,0.359,0.581,5.08063152110367e-41
"Thra",9.69578851648564e-46,-0.0231629788514093,0.226,0.422,5.28052034184841e-41
"Fam114a1",9.72010688903089e-46,0.0443149495010979,0.254,0.406,5.293764613904e-41
"Ep300",9.73879982816617e-46,-0.0865710885279277,0.301,0.535,5.30394516241586e-41
"Sppl3",9.78076942612231e-46,-0.0506866721226267,0.348,0.575,5.32680264485473e-41
"Rsu1",9.82898122670169e-46,0.0101072981871748,0.337,0.522,5.35305975568628e-41
"Cpt1a",1.00046732765607e-45,-0.143055277456217,0.413,0.682,5.44874515988047e-41
"Zmynd11",1.00133567132995e-45,-0.0174974643977179,0.296,0.498,5.45347433319719e-41
"Kif21a",1.01563362859527e-45,-0.00521620447557136,0.394,0.618,5.53134386805554e-41
"Hmox2",1.0207427690625e-45,-0.038271539136666,0.409,0.631,5.55916926886818e-41
"1700123O20Rik",1.04761427783899e-45,-0.016750403834347,0.422,0.629,5.7055168799667e-41
"Dguok",1.08199083444446e-45,-0.000646650551519912,0.414,0.612,5.89273848255142e-41
"Aaed1",1.09842014045246e-45,-0.0783039578627129,0.264,0.494,5.98221576893221e-41
"Aspscr1",1.11478905838922e-45,0.0377675436761657,0.344,0.519,6.07136416979939e-41
"Znrd1",1.11717050937609e-45,0.0761396587489358,0.41,0.561,6.08433402816409e-41
"Sppl2a",1.11821464241093e-45,-0.0122571885351922,0.618,0.829,6.0900205854984e-41
"Rnf6",1.16258723872864e-45,-0.00294461669404189,0.423,0.637,6.33168261956392e-41
"Ildr1",1.16544873237205e-45,-0.0750495637060755,0.483,0.729,6.34726688624465e-41
"Supt5",1.16562255600079e-45,-0.0602778835006655,0.314,0.537,6.3482135644915e-41
