"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Spcs2",8.90477912923637e-47,0.0557331907249301,0.743,0.906,4.84972080936471e-42
"Slc5a3",9.0835739459197e-47,-0.121858018507251,0.312,0.562,4.94709604242679e-42
"Cdpf1",9.12538961612542e-47,0.0951227082125187,0.417,0.557,4.96986969273423e-42
"Pabpc4",9.90215064346708e-47,-0.153996265504735,0.279,0.544,5.39290928344504e-42
"Trnau1ap",9.92071659698821e-47,0.0518817089849355,0.343,0.511,5.40302067305172e-42
"Alkbh7",1.05335036875419e-46,0.0895272637364746,0.467,0.622,5.73675677830909e-42
"Abcc3",1.06218567862404e-46,-0.0780992185937867,0.319,0.559,5.78487564292222e-42
"Ubr4",1.06567120829e-46,-0.043185368852425,0.345,0.575,5.80385853458899e-42
"Polr2f",1.10310180019316e-46,0.102054556673187,0.725,0.853,6.00771302421201e-42
"Galnt7",1.1074316943933e-46,-0.0525056998254358,0.653,0.873,6.03129449400478e-42
"Rab35",1.11477814009535e-46,-0.0471024071778827,0.272,0.481,6.07130470658729e-42
"Clybl",1.13858634313907e-46,-0.020575129055001,0.414,0.622,6.20096894200401e-42
"Ube2q1",1.14170491384542e-46,-0.00911601718400612,0.401,0.609,6.21795330178491e-42
"Fut8",1.14774407701421e-46,0.00109198968061719,0.473,0.684,6.25084379223482e-42
"Rassf1",1.16401859078049e-46,0.00789774505290253,0.243,0.426,6.33947804910872e-42
"Cox14",1.17375117686859e-46,0.157612188788957,0.83,0.931,6.39248365946174e-42
"Rce1",1.18000151706906e-46,-0.0348635918566082,0.356,0.57,6.42652426226153e-42
"Arl6ip5",1.18016952407905e-46,0.00834774719319564,0.396,0.596,6.42743926203935e-42
"Actr1b",1.19685699784457e-46,-0.0583818614892915,0.323,0.563,6.51832258166109e-42
"Pak4",1.1975291127001e-46,-0.0701851772533871,0.269,0.501,6.52198305358727e-42
"Hnrnpr",1.20207506277732e-46,0.0689864442019896,0.459,0.639,6.54674120689786e-42
"Dek",1.22052186131687e-46,-0.0719579167553654,0.421,0.667,6.64720616110396e-42
"Rnaseh2c",1.22165736364886e-46,0.105778584349344,0.488,0.638,6.6533903339044e-42
"Stag2",1.23677674916753e-46,-0.0912849916874353,0.263,0.508,6.73573353131621e-42
"Ugcg",1.2407884485792e-46,-0.0587200311967099,0.335,0.572,6.75758204865204e-42
"Herc1",1.32021564576046e-46,-0.06487459511959,0.328,0.564,7.19015844994059e-42
"Lmo4",1.33507190681675e-46,-0.0636990513756195,0.359,0.601,7.27106861890538e-42
"Nsfl1c",1.34359506947286e-46,0.0259873637880856,0.369,0.547,7.31748746736307e-42
"Ppp4c",1.38730887410377e-46,-0.0646101722957765,0.372,0.613,7.55556159014398e-42
"Larp4b",1.39745255298951e-46,0.0118314067599925,0.577,0.786,7.61080609409149e-42
"Phf10",1.41679904422353e-46,0.0311421338294031,0.314,0.5,7.71617095465019e-42
"Srek1ip1",1.41694100355417e-46,-0.0496759371349581,0.297,0.51,7.71694409355673e-42
"Gigyf2",1.48348538407598e-46,-0.0194854990366782,0.365,0.581,8.07935809875458e-42
"Actl6a",1.5162148146837e-46,0.0371747726824115,0.352,0.525,8.25760912373036e-42
"Hmgn5",1.51872624584811e-46,-0.0424240159460461,0.331,0.559,8.27128688013797e-42
"Hnrnpll",1.51874019524838e-46,-0.109093187269789,0.296,0.548,8.27136285136174e-42
"Pan3",1.53817514485117e-46,-0.0914949640108411,0.312,0.568,8.37720947388842e-42
"Rtcb",1.54214853258674e-46,-0.0105101882715002,0.732,0.917,8.39884933817392e-42
"Pigyl",1.54382295388034e-46,0.0806340177925875,0.466,0.622,8.40796857142312e-42
"Clec2d",1.57908390866357e-46,-0.0424379946585739,0.426,0.644,8.60000678336355e-42
"Rangap1",1.58145112210848e-46,0.00650532158614386,0.32,0.511,8.61289910122722e-42
"G6pc3",1.59900971529552e-46,0.0628916177953975,0.426,0.612,8.70852671144246e-42
"Il13ra1",1.61731946310157e-46,-0.02044528969952,0.335,0.543,8.80824525994374e-42
"Morf4l1",1.6410363114359e-46,0.0466432128039149,0.754,0.922,8.9374119593422e-42
"Erbb2",1.65322847526931e-46,-0.0570778352341254,0.296,0.527,9.00381292201171e-42
"Lcmt1",1.68102069803688e-46,0.0225658411205467,0.331,0.505,9.15517492564848e-42
"Myo7b",1.73315982814762e-46,-0.0648163662551804,0.281,0.504,9.43913505605759e-42
"Hsd17b12",1.7455122066892e-46,0.00510519091102035,0.611,0.814,9.50640858007072e-42
"Ptpn18",1.74886528625008e-46,0.0107101950248286,0.484,0.68,9.52467012197519e-42
"Nr3c1",1.75502647089118e-46,-0.0384584437657159,0.337,0.57,9.55822516576756e-42
"Ddx21",1.75798176268796e-46,-0.0681975716657869,0.293,0.523,9.57432027595114e-42
"Pgp",1.75895613966976e-46,0.109178653100842,0.77,0.906,9.57962692786946e-42
"Nop58",1.75902083140769e-46,0.0735862415445268,0.487,0.667,9.57997925201254e-42
"Apc",1.76845768588378e-46,0.0060340338460072,0.343,0.554,9.63137424886024e-42
"Dnajb6",1.8208590894986e-46,0.00204702468246654,0.578,0.78,9.91676277322728e-42
"Arid4b",1.8828054254979e-46,0.0406489558866091,0.406,0.598,1.02541349083466e-41
"Mrps14",1.88558457500387e-46,0.0991993108077993,0.731,0.868,1.02692707123861e-41
