"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Rdx",1.8466941100032e-113,-9.7231887892041,0.529,0.704,5.17037416918696e-109
"Cttnbp2nl",2.13483385833192e-113,-1.51140701853361,0.219,0.435,5.97710783655771e-109
"Ablim1",2.33172141706107e-113,-3.08748019664679,0.305,0.516,6.5283536234876e-109
"Ap2m1",2.63561445660116e-113,-12.2746846728214,0.557,0.727,7.37919335559193e-109
"Cul1",2.67288039093345e-113,-1.7476798725199,0.248,0.454,7.48353051853548e-109
"Dnmt3a",2.7278283512557e-113,-2.48029730352483,0.237,0.436,7.6373738178457e-109
"Cep170b",3.60196867853732e-113,-2.08092734054466,0.119,0.295,1.00847919061688e-108
"Rest",5.08250149516839e-113,-1.75574733952317,0.217,0.418,1.42299876861725e-108
"Nol7",5.61578285478249e-113,-19.6505100358978,0.568,0.718,1.572306883682e-108
"Map2k4",7.68005613257196e-113,-0.830975321634332,0.116,0.294,2.1502621159975e-108
"Kmt2a",9.28130598968925e-113,-1.43349722831426,0.158,0.349,2.5985800509932e-108
"Smek2",9.65578308301685e-113,-1.76686294494368,0.192,0.38,2.70342614758306e-108
"Parg",1.12565507119819e-112,-0.588238275743706,0.066,0.228,3.1516090683407e-108
"Asap1",1.20191626813618e-112,-2.45192577971027,0.182,0.387,3.36512516752767e-108
"Npdc1",1.87906851970246e-112,-1.99695683844156,0.254,0.472,5.26101604146294e-108
"C1d",2.24177861299227e-112,-2.07701592586624,0.391,0.583,6.27653176065577e-108
"Mki67",2.53290895164244e-112,-22.8301054841218,0.052,0.194,7.09163848280851e-108
"Rpl23a",2.58814237105338e-112,-258.187233037356,0.996,1,7.24628101047525e-108
"Tbrg1",2.83288679253053e-112,-20.4597796430183,0.437,0.634,7.93151644172697e-108
"Zfp646",2.98071016684991e-112,-0.535286424535679,0.061,0.219,8.34539232514637e-108
"Arhgap1",3.36222629922338e-112,-3.48303481415279,0.223,0.423,9.41356119256562e-108
"Ahcyl1",3.68180460795069e-112,-1.55529887555577,0.154,0.343,1.03083165413404e-107
"Rbm26",3.7049431987094e-112,-0.856715583458015,0.167,0.359,1.03730999677466e-107
"Fhl2",3.93008598364938e-112,-4.04287935839829,0.073,0.24,1.10034547370215e-107
"Vma21",4.26056266817083e-112,-2.05532445901687,0.26,0.462,1.19287233583447e-107
"Rpl36",4.44994717937617e-112,-328.879397316131,0.992,0.999,1.24589621128174e-107
"Edn1",5.25393018006093e-112,-5.74121866912442,0.051,0.205,1.47099537181346e-107
"Arl6ip4",5.52455627049679e-112,-1.99390785947119,0.323,0.525,1.54676526461369e-107
"Srsf11",5.8842579580048e-112,-11.9395294824139,0.599,0.762,1.64747454308218e-107
"Fabp5",5.95053691093215e-112,-74.3441972355875,0.427,0.65,1.66603132432278e-107
"Rev3l",6.19196849389094e-112,-0.711387465781463,0.074,0.239,1.73362733891959e-107
"Ddb1",7.83506815141596e-112,-16.0003880602232,0.35,0.547,2.19366238103344e-107
"Smek1",8.306651157374e-112,-1.08121688043021,0.134,0.319,2.32569619104157e-107
"Nbl1",1.22352023237913e-111,20.6102289980863,0.311,0.541,3.4256119466151e-107
"Ssrp1",1.28085257050833e-111,-9.45326719184451,0.269,0.471,3.58613102690922e-107
"Topbp1",1.6851068409919e-111,-1.97868954069278,0.09,0.255,4.71796213340912e-107
"Wdr83os",1.72060602127796e-111,-14.4578551175172,0.449,0.621,4.81735273837402e-107
"Srsf1",1.87168694990155e-111,-13.2945325939378,0.428,0.61,5.24034912233437e-107
"Abi1",2.37465722792006e-111,-2.03593084492665,0.228,0.428,6.64856530673058e-107
"Ibtk",2.52357142380369e-111,-0.850905954001712,0.072,0.233,7.06549527236558e-107
"Utp11l",2.65986785842723e-111,-10.0942541976215,0.317,0.506,7.44709803002455e-107
"Gipc1",2.76322036859141e-111,-4.02747573940648,0.289,0.488,7.73646438798222e-107
"Psmd8",2.81928192000691e-111,-30.6621389530568,0.571,0.702,7.89342551963534e-107
"Chtop",3.11522013344604e-111,-3.59499902285973,0.349,0.55,8.72199332962222e-107
"Vps36",5.18742717629084e-111,-13.2648719967253,0.39,0.568,1.45237586081791e-106
"Als2cl",5.35334078271425e-111,-2.60034528745378,0.061,0.214,1.49882835234434e-106
"Gmps",5.84170638864443e-111,-2.14464407406845,0.144,0.328,1.63556095469267e-106
"Ptpn11",6.35577063020036e-111,-1.63867993622317,0.178,0.372,1.7794886610435e-106
"Mrps18c",6.77629895979251e-111,-13.4743446867021,0.423,0.603,1.89722818276271e-106
"Ttc9c",7.45964195426689e-111,-0.737513887398524,0.091,0.262,2.08855055435564e-106
"Lrrfip2",7.65456013369535e-111,-1.90761597184427,0.237,0.428,2.14312374623202e-106
"Iffo2",9.37543518119611e-111,-1.96705616770062,0.065,0.221,2.62493434203129e-106
"Lpcat4",1.10427219355718e-110,-0.603901746027713,0.033,0.17,3.0917412875214e-106
"BC031181",1.37449751560525e-110,-14.7556319761592,0.531,0.687,3.84831814419158e-106
"Sema3e",1.44098204372202e-110,0.483396384046973,0.166,0.369,4.0344615260129e-106
"Tmem57",1.80867659169667e-110,-2.41565410655255,0.227,0.422,5.06393272143234e-106
"2310009B15Rik",2.21988755302677e-110,-10.1085636875877,0.236,0.432,6.21524117096436e-106
"Clta",2.3810369287481e-110,-24.9128683236848,0.741,0.839,6.66642719310893e-106
"Eif4b",2.43688228200204e-110,-5.17064989776989,0.381,0.565,6.8227830131493e-106
"Jmjd1c",3.02018606595238e-110,-1.46877081362562,0.221,0.414,8.45591694745348e-106
"Abhd17a",3.48045870144472e-110,-1.13234580677641,0.364,0.57,9.74458827230493e-106
"Ndufb5",4.0204976197519e-110,-14.3971481829474,0.726,0.849,1.12565892357814e-105
"Fam149a",4.38629310865179e-110,-2.94608033886234,0.054,0.205,1.22807434456033e-105
"Actn1",5.90651137524006e-110,6.17610492728866,0.348,0.576,1.65370505483971e-105
"Ier3ip1",6.40828470919337e-110,-25.9168614550809,0.616,0.776,1.79419155287996e-105
"Stag1",7.11942440373686e-110,-1.94321021626433,0.152,0.343,1.99329644455825e-105
"Phactr2",7.92523592413842e-110,-2.21512665853884,0.2,0.397,2.21890755404027e-105
"Cald1",8.96756602267074e-110,-28.8111060924368,0.464,0.685,2.51073913502735e-105
"Tet3",9.56124368556753e-110,-1.50562514481858,0.214,0.409,2.6769570070852e-105
"Nudcd2",1.44274733291231e-109,-6.01560118971787,0.233,0.43,4.03940398268788e-105
"Vars",1.52700598972807e-109,-0.807246957985909,0.098,0.267,4.27531137004066e-105
"Mgst2",1.76180934566909e-109,-16.4577879777032,0.041,0.176,4.93271380600432e-105
"Tmem126a",1.78397956810189e-109,-1.8788670588291,0.218,0.413,4.99478599477167e-105
"Mydgf",1.7962901236849e-109,-15.7732652506564,0.457,0.628,5.02925308829297e-105
"Snrpg",1.85447354181567e-109,-118.158379643712,0.831,0.9,5.19215502237551e-105
"Naa38",2.06912631709885e-109,-18.3598456674847,0.493,0.657,5.79313986261335e-105
"Btaf1",2.1578568198649e-109,-0.616231791629356,0.073,0.234,6.04156752425774e-105
"Celf1",2.37592502902612e-109,-2.91757888445253,0.293,0.487,6.65211489626734e-105
"Tnks",2.93503957600528e-109,-0.317414591907265,0.015,0.128,8.21752380489958e-105
"Eif2s3x",2.93692347258657e-109,-1.4799347637859,0.211,0.4,8.22279833854787e-105
"Tspan8",2.96758764645945e-109,-54.7151163206333,0.384,0.585,8.30865189255716e-105
"Cul3",3.48507926653518e-109,-0.956844043626154,0.186,0.38,9.75752493044519e-105
"Otud4",3.63809763624196e-109,-0.799016418638289,0.083,0.248,1.01859457619502e-104
"Wbp5",3.6830925643411e-109,-43.2520140074868,0.867,0.929,1.03119225616422e-104
"Hnrnpf",3.8515105530783e-109,-20.8521079786988,0.705,0.843,1.07834592465086e-104
"Srp72",4.38249470857375e-109,-4.39973563848533,0.324,0.514,1.22701086850648e-104
"mt-Nd4",5.0493019173905e-109,20.2264815137252,0.998,0.984,1.41370355083099e-104
"Smc2",5.30914650260711e-109,-15.4663269317387,0.08,0.241,1.48645483779994e-104
"Mpp6",6.7532187227031e-109,-1.2417001912662,0.054,0.203,1.89076617798241e-104
"Rbbp6",7.06566493577246e-109,-3.26037992092628,0.417,0.608,1.97824486871757e-104
"Eif4g3",8.16699117409071e-109,-0.95401155159816,0.264,0.473,2.28659418892192e-104
"Tpm4",8.39385006058725e-109,-5.76072624979241,0.705,0.868,2.35011013996322e-104
"Erp29",1.33954064810159e-108,-10.8008996869568,0.613,0.744,3.75044590655483e-104
"Sh3bgrl2",1.59935778439648e-108,-1.04194958626518,0.053,0.201,4.47788192475325e-104
"Lgals9",2.16314279402824e-108,-25.2416374764685,0.208,0.407,6.05636719472026e-104
"Zfp36l1",2.58254255158564e-108,-7.90407922940931,0.609,0.755,7.23060263592947e-104
"Uck2",3.36374975003557e-108,-1.28294740165565,0.067,0.222,9.41782655014958e-104
"Gapdh",3.39026010235611e-108,-83.6411128439206,0.843,0.911,9.49205023457664e-104
"Grpel1",3.86654471480873e-108,-12.3032010104436,0.358,0.546,1.08255518925215e-103
"Snf8",3.93048495467712e-108,-3.37445894380217,0.399,0.582,1.1004571776105e-103
"mt-Co3",4.95276764594991e-108,-99.5171413831438,0.999,0.991,1.38667588551306e-103
"Bola3",5.06444605881491e-108,-20.8895340542116,0.375,0.562,1.417943607547e-103
"Efr3a",5.26773010162209e-108,-1.19360183781528,0.191,0.38,1.47485907385215e-103
"Srp19",7.38799934918531e-108,-5.17664317739425,0.433,0.622,2.0684920577849e-103
"Elof1",7.49666780435434e-108,70.3449527000423,0.409,0.64,2.09891705186313e-103
"Taf15",7.57747320771514e-108,-1.06506497410582,0.159,0.348,2.12154094869609e-103
"Crebbp",8.02178914619269e-108,-1.48212955694398,0.255,0.448,2.24594052515103e-103
"Atp8a1",9.12817512287885e-108,-16.6067641449547,0.371,0.516,2.55570647090362e-103
"Mapk1ip1l",9.16103217623267e-108,-1.08426651867017,0.156,0.342,2.56490578870162e-103
"Dnase2a",1.32184222713656e-107,-4.17239299184811,0.209,0.383,3.70089386753694e-103
"Uchl3",1.73363133800214e-107,-16.4204528277097,0.193,0.376,4.8538210201384e-103
"Eef1d",2.02757501300018e-107,-49.7441359197815,0.719,0.816,5.67680452139791e-103
"Pglyrp1",2.23020753313415e-107,3.30447581726943,0.059,0.216,6.24413505126899e-103
"Cyld",2.23941464590705e-107,-0.634197852026002,0.064,0.219,6.26991312561056e-103
"Rnf43",2.51616667349452e-107,-1.28460010276796,0.049,0.191,7.04476345244996e-103
"Smim15",2.53859745861248e-107,-2.54030409771901,0.3,0.501,7.10756516462323e-103
"Sel1l3",3.62048233375658e-107,-0.61050784451957,0.028,0.154,1.01366264380517e-102
"Cacybp",3.80643433297815e-107,-11.4361064858842,0.373,0.546,1.06572548454722e-102
"Mtss1",4.10775379980904e-107,-1.89313331737774,0.187,0.376,1.15008890887053e-102
"Ythdf2",4.45608852295693e-107,-1.59236428902214,0.234,0.43,1.24761566465748e-102
"Bmpr1a",4.64382753354301e-107,-1.20955038582601,0.185,0.38,1.30017883284137e-102
"Map4k4",5.30952508446788e-107,-3.1751475094658,0.292,0.5,1.48656083314932e-102
"Hspg2",6.36290221676013e-107,7.94986927851283,0.297,0.51,1.7814853626485e-102
"Hook3",6.67099399494315e-107,-1.03578595230257,0.196,0.391,1.86774489870418e-102
"Snrpc",7.65421873251404e-107,-11.9548812131524,0.512,0.685,2.14302816072928e-102
"Casp8ap2",7.74277055885352e-107,-1.27906933308625,0.105,0.279,2.16782090106781e-102
