"gene","distance","Z","FC","p.value","p.adj"
"Cpt1a",6.60907997261576e-12,-0.188253236557069,1.38497641600549e-05,0.997030657816546,0.999999994607851
"Neu1",6.60052854810329e-12,-0.188467621940721,1.38139471954747e-05,0.997034499801912,0.999999994607851
"Toe1",6.59398535759963e-12,-0.188631833615766,1.37865728764646e-05,0.997037439527629,0.999999994607851
"Tefm",6.58819175377256e-12,-0.18877735867583,1.37623572169961e-05,0.997040042478953,0.999999994607851
"Supt6",6.58620999500156e-12,-0.188827164025409,1.37540788999344e-05,0.997040932843882,0.999999994607851
"Plekhg5",6.58392961001077e-12,-0.188884491515913,1.37445562259447e-05,0.997041957375656,0.999999994607851
"Hspb3",6.58298146046343e-12,-0.188908332806373,1.37405978129068e-05,0.997042383360454,0.999999994607851
"Bud13",6.56585967090123e-12,-0.189339407119754,1.3669214451121e-05,0.997050075841282,0.999999994607851
"Pik3r2",6.55566846998232e-12,-0.189596482665475,1.36268140325459e-05,0.997054654546073,0.999999994607851
"B4galnt1",6.55484547804529e-12,-0.189617258913941,1.36233928546193e-05,0.99705502430006,0.999999994607851
"Slc24a5",6.53693170239572e-12,-0.190070085103947,1.35490317042073e-05,0.997063072605023,0.999999994607851
"Mrc1",6.53051032871357e-12,-0.190232683806141,1.3522425746894e-05,0.99706595760124,0.999999994607851
"Nipsnap2",6.52560188245751e-12,-0.19035707237009,1.35021060007422e-05,0.997068162869108,0.999999994607851
"Vamp7",6.52525987620433e-12,-0.190365742617452,1.35006907493196e-05,0.997068316525757,0.999999994607851
"Zfp395",6.51275191757726e-12,-0.190683121781437,1.34489826981854e-05,0.997073936104403,0.999999994607851
"Nol4l",6.50928458100872e-12,-0.19077120207522,1.34346662504475e-05,0.997075493910232,0.999999994607851
"Ppp2r5c",6.50363682275011e-12,-0.190914763984926,1.34113632807712e-05,0.99707803133648,0.999999994607851
"Trap1",6.50322667057315e-12,-0.19092519423112,1.34096717575375e-05,0.997078215609754,0.999999994607851
"Myo9b",6.5007804342618e-12,-0.190987415073746,1.33995853625674e-05,0.997079314655428,0.999999994607851
"Ggt5",6.49857732058362e-12,-0.191043470487445,1.33905046659362e-05,0.997080304470908,0.999999994607851
"Faap24",6.49373678764731e-12,-0.191166693225551,1.33705639817532e-05,0.997082479226806,0.999999994607851
"Pim3",6.48772539662711e-12,-0.191319839779196,1.33458206057479e-05,0.99708518002616,0.999999994607851
"Stard9",6.47295615710488e-12,-0.191696658065843,1.32851265250389e-05,0.997091815554156,0.999999994607851
"Tmem199",6.46601062778512e-12,-0.191874138482034,1.32566317448594e-05,0.99709493604355,0.999999994607851
"Pdxk",6.45032463084153e-12,-0.192275613286016,1.31923908178639e-05,0.997101983452893,0.999999994607851
"Ubr2",6.44994966330538e-12,-0.192285221392831,1.31908570735072e-05,0.997102151918421,0.999999994607851
"Ifit3b",6.44764314529547e-12,-0.192344334561738,1.31814245938832e-05,0.997103188191534,0.999999994607851
"Fam177a",6.44471727319462e-12,-0.192419349057786,1.31694641268055e-05,0.997104502728249,0.999999994607851
"Clcn7",6.43706420876942e-12,-0.192615709472593,1.31382053729168e-05,0.997107941099417,0.999999994607851
"Lcorl",6.42705557778186e-12,-0.192872833469608,1.3097381414138e-05,0.997112437780346,0.999999994607851
"Lfng",6.42704294832371e-12,-0.192873158156383,1.30973299402816e-05,0.997112443454513,0.999999994607851
"Ankrd10",6.41762633497577e-12,-0.193115410787517,1.3058978822255e-05,0.99711667415365,0.999999994607851
"Ndel1",6.39965792551424e-12,-0.193578578335013,1.29859547554272e-05,0.99712474700678,0.999999994607851
"Itgb1bp1",6.39694143606641e-12,-0.193648704960074,1.29749326906375e-05,0.997125967472111,0.999999994607851
"Hbp1",6.39520568928888e-12,-0.193693527927826,1.29678924066582e-05,0.997126747309035,0.999999994607851
"Osm",6.38579411284834e-12,-0.193936762742963,1.29297518026814e-05,0.997130975745463,0.999999994607851
"Ppp1r16a",6.38221387054949e-12,-0.194029378081811,1.29152575466421e-05,0.997132584278024,0.999999994607851
"Zfp780b",6.38198950779503e-12,-0.194035183594496,1.29143495069296e-05,0.997132685079804,0.999999994607851
"Akr1e1",6.37462022711063e-12,-0.194225972546983,1.28845423378063e-05,0.997135995952946,0.999999994607851
"Fen1",6.36101484057277e-12,-0.194578747690494,1.28296019330022e-05,0.997142108586154,0.999999994607851
"BC002059",6.3602084178885e-12,-0.194599679319097,1.28263491733492e-05,0.997142470896048,0.999999994607851
"Tspan5",6.35973539504084e-12,-0.194611958309886,1.28244413960569e-05,0.997142683415935,0.999999994607851
"Fam216a",6.34698577812726e-12,-0.194943237568397,1.27730735920381e-05,0.99714841156881,0.999999994607851
"Gnl3l",6.33557427175272e-12,-0.195240268787178,1.27271844150793e-05,0.997153538534983,0.999999994607851
"Gabbr1",6.3262228457398e-12,-0.195484045909787,1.26896410188812e-05,0.99715773994751,0.999999994607851
"Bet1l",6.32384063688483e-12,-0.19554619948015,1.26800859702095e-05,0.997158810227297,0.999999994607851
"Peak1",6.32327604873782e-12,-0.195560933161682,1.26778219325537e-05,0.997159063885696,0.999999994607851
"Mdm2",6.30737558277744e-12,-0.19597637589878,1.26141429710196e-05,0.997166207653809,0.999999994607851
"Cdk7",6.30590949118013e-12,-0.196014730115065,1.26082795688951e-05,0.997166866340077,0.999999994607851
"Ets2",6.29216169630441e-12,-0.196374784771081,1.2553363749799e-05,0.99717304295541,0.999999994607851
"Srsf4",6.27487614465996e-12,-0.196828523891403,1.24844863837527e-05,0.997180809015902,0.999999994607851
"Rnf128",6.26912120850968e-12,-0.19697984447862,1.2461596856278e-05,0.997183394596288,0.999999994607851
"Orc5",6.2423753837117e-12,-0.197684785501962,1.2355494355196e-05,0.997195410973261,0.999999994607851
"Gm21092",6.24161177942072e-12,-0.19770495271443,1.23524717457334e-05,0.997195754045772,0.999999994607851
"Clasp1",6.23005137587336e-12,-0.198010547590311,1.23067568502535e-05,0.997200947909619,0.999999994607851
"Gsk3b",6.2256410611054e-12,-0.198127270367508,1.2289338868695e-05,0.997202929378059,0.999999994607851
"Supt16",6.22551502117315e-12,-0.198130607243116,1.22888412711805e-05,0.997202986005344,0.999999994607851
"Apoc4",6.22480457418445e-12,-0.198149417314078,1.22860366607713e-05,0.997203305195327,0.999999994607851
"Washc5",6.22249641251713e-12,-0.19821054276424,1.22769270089216e-05,0.997204342207372,0.999999994607851
"Myo7a",6.21978201739743e-12,-0.198282452965507,1.22662183929224e-05,0.997205561732194,0.999999994607851
"Spr",6.21821631720281e-12,-0.198323944910622,1.22600436417126e-05,0.997206265170779,0.999999994607851
"Lin54",6.21249947361785e-12,-0.198475526348257,1.22375109636868e-05,0.997208833637207,0.999999994607851
"Sntb2",6.21182375049419e-12,-0.198493451565163,1.22348490014742e-05,0.997209137226442,0.999999994607851
"Top1mt",6.20133594659829e-12,-0.198771897066024,1.21935701823417e-05,0.997213849192456,0.999999994607851
"Slamf6",6.20105848263049e-12,-0.198779269476904,1.21924790623943e-05,0.997213973851614,0.999999994607851
"Esco1",6.20002855009364e-12,-0.198806638161631,1.21884293060194e-05,0.997214436580248,0.999999994607851
"Tsc22d2",6.18231667562066e-12,-0.199277957758512,1.21188904090132e-05,0.997222394180707,0.999999994607851
"Wdr44",6.16915896168338e-12,-0.199628896016369,1.20673604674167e-05,0.997228305685658,0.999999994607851
"Tnrc18",6.16255312426147e-12,-0.199805345022517,1.20415312277862e-05,0.997231273559984,0.999999994607851
"Fdft1",6.16186467398101e-12,-0.199823744300508,1.20388409361733e-05,0.997231582867312,0.999999994607851
"2010111I01Rik",6.15631464410658e-12,-0.199972141692447,1.20171637849789e-05,0.997234076387867,0.999999994607851
